Geographic Area Name,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no
"Newton County, Texas",13870,11580,8291,5473,2290
"Kimble County, Texas",4356,3355,2268,1890,1001
"Van Zandt County, Texas",53721,44481,31896,20363,9240
"Martin County, Texas",5543,4845,4001,1230,698
"Yoakum County, Texas",8571,6649,5154,2076,1922
"Red River County, Texas",12077,10323,7083,5109,1754
"Sutton County, Texas",3844,3169,2580,1026,675
"Upshur County, Texas",40221,33423,24738,13276,6798
"Wharton County, Texas",41197,33706,23557,13888,7491
"Borden County, Texas",665,634,526,226,31
"Marion County, Texas",9954,8722,5681,4726,1232
"Grayson County, Texas",127174,105716,80788,41729,21458
"Palo Pinto County, Texas",28074,22853,15680,10934,5221
"DeWitt County, Texas",18492,16089,11832,6600,2403
"Callahan County, Texas",13684,11151,8738,4562,2533
"Gregg County, Texas",121339,98319,70968,40044,23020
"Lubbock County, Texas",297274,257051,201564,85161,40223
"Kaufman County, Texas",117811,99986,77950,32365,17825
"Floyd County, Texas",5834,4525,2954,2269,1309
"Chambers County, Texas",40076,34357,28005,9562,5719
"Bell County, Texas",321558,283732,225691,101779,37826
"Hutchinson County, Texas",21464,17752,13267,7558,3712
"Orange County, Texas",83301,70470,52513,27767,12831
"Winkler County, Texas",7703,6046,4668,1974,1657
"Burnet County, Texas",45246,38384,29864,16358,6862
"Dallas County, Texas",2568003,2027479,1428744,760531,540524
"McMullen County, Texas",662,581,502,210,81
"Johnson County, Texas",161010,135010,106074,42973,26000
"Hartley County, Texas",4220,3508,2599,1265,712
"Limestone County, Texas",22659,17953,11644,9453,4706
"Parker County, Texas",128417,110622,90697,34717,17795
"Culberson County, Texas",2233,1770,1115,820,463
"Garza County, Texas",4405,3633,2623,1684,772
"Travis County, Texas",1195755,1033927,869388,254152,161828
"Collingsworth County, Texas",2929,2266,1320,1222,663
"Lamb County, Texas",13062,10062,6496,4833,3000
"Loving County, Texas",102,91,88,25,11
"Robertson County, Texas",16698,14199,10378,5937,2499
"Taylor County, Texas",130933,113303,87374,41115,17630
"Trinity County, Texas",14434,11503,6851,6900,2931
"Bandera County, Texas",21584,17769,13852,8464,3815
"Cochran County, Texas",2879,2073,1268,1018,806
"Comal County, Texas",133918,117455,98182,38832,16463
"Houston County, Texas",19828,16851,10938,8352,2977
"Potter County, Texas",114083,89365,61482,37609,24718
"Scurry County, Texas",15723,13314,10268,4647,2409
"Stonewall County, Texas",1331,1134,826,558,197
"Brown County, Texas",36773,31720,23282,13893,5053
"Bee County, Texas",25061,20059,13592,9245,5002
"Crane County, Texas",4738,3976,3301,1013,762
"McCulloch County, Texas",7960,6496,4869,2929,1464
"Lee County, Texas",16491,14397,11420,5353,2094
"Ellis County, Texas",167585,142034,115928,42252,25551
"Kerr County, Texas",50494,42461,31033,22022,8033
"Falls County, Texas",15531,12901,8635,6361,2630
