Geographic Area Name,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years
"Webb County, Texas",272053,132906,139147,26546,23862,25976,24233,21883,36453,35572,30398,12160,10584,14333,6922,3131,28.6
"Armstrong County, Texas",1916,960,956,121,94,106,100,82,197,206,271,209,130,232,111,57,46.3
"Castro County, Texas",7787,3905,3882,604,765,574,595,532,785,963,856,477,485,678,324,149,35.3
"Kleberg County, Texas",31425,16052,15373,2222,2295,1915,2953,4777,4366,3270,2828,1301,1461,2274,1283,480,28.0
"Willacy County, Texas",21754,11681,10073,1398,1390,1621,1734,2011,3260,3018,2266,1028,1122,1612,981,313,33.6
"Crosby County, Texas",5861,2921,2940,400,393,534,454,327,643,725,580,391,356,560,374,124,38.1
"Fisher County, Texas",3883,1879,2004,262,183,206,256,258,393,431,455,269,278,488,316,88,44.4
"Duval County, Texas",11355,5758,5597,813,709,1016,633,930,1433,1297,1278,903,318,1101,709,215,36.1
"Blanco County, Texas",11279,5781,5498,461,572,605,685,493,854,1266,1565,1075,1006,1706,779,212,49.9
"Jasper County, Texas",35504,17501,18003,2119,2373,2648,2238,2179,3772,3960,4620,2600,2265,3996,1867,867,40.9
"Kinney County, Texas",3675,2290,1385,87,152,283,190,216,579,391,502,346,178,501,122,128,41.7
"Deaf Smith County, Texas",18899,9507,9392,1663,1579,1746,1510,1301,2372,2314,2075,1100,923,1279,735,302,32.0
"Galveston County, Texas",327089,161269,165820,21173,21795,23438,22157,19905,43687,42869,44116,23589,20096,27241,12627,4396,37.5
"La Salle County, Texas",7409,4408,3001,508,532,287,418,605,1499,887,985,363,291,665,331,38,33.8
"Roberts County, Texas",885,401,484,32,50,109,99,28,83,89,95,55,45,99,83,18,38.0
"Tyler County, Texas",21496,11738,9758,1069,1131,1143,1408,1624,2681,2330,2446,1581,1473,2636,1468,506,42.7
"Wheeler County, Texas",5482,2844,2638,382,438,392,305,253,783,602,583,429,300,578,285,152,39.0
"Bowie County, Texas",93858,47275,46583,6060,6076,6476,5542,6215,12531,12537,11786,6160,5483,8611,4656,1725,38.1
"Brewster County, Texas",9216,4558,4658,487,507,529,418,543,1160,1223,1020,628,714,1215,619,153,43.3
"Kent County, Texas",749,327,422,33,53,34,61,12,41,79,90,65,54,146,59,22,51.8
"Smith County, Texas",225015,108730,116285,15496,15209,15695,15854,16210,30117,26582,26915,13952,13314,20158,11658,3855,36.6
"Crockett County, Texas",3633,1771,1862,303,321,209,305,96,528,364,513,112,343,336,163,40,35.9
"Hardin County, Texas",56379,27342,29037,3739,3620,4188,3784,3256,6855,7194,7149,3961,3438,5602,2691,902,39.0
"Howard County, Texas",36667,20732,15935,2309,2132,2324,2260,2672,5608,5178,5267,2389,1932,2551,1504,541,36.6
"Leon County, Texas",17098,8602,8496,1075,1143,1039,1039,777,1680,1789,1938,1255,1276,2351,1208,528,45.0
"Montague County, Texas",19409,9403,10006,1108,1305,1328,1083,1039,2096,2019,2529,1295,1378,2426,1360,443,43.4
"Panola County, Texas",23440,11498,11942,1430,1282,1903,1628,1412,2675,2890,2688,1596,1710,2393,1361,472,39.3
"Erath County, Texas",41482,20216,21266,2449,2551,2356,4548,5919,5055,4174,4327,2300,2085,3324,1612,782,30.0
"Brazoria County, Texas",353999,179060,174939,25013,27824,25997,23891,21058,49737,51803,47776,22350,18570,24779,11542,3659,35.6
"Motley County, Texas",1156,580,576,58,132,71,75,29,195,55,99,61,43,221,90,27,38.3
"Donley County, Texas",3387,1634,1753,162,195,244,278,251,326,322,368,226,226,427,287,75,41.6
"Atascosa County, Texas",48828,24398,24430,3584,3628,4029,3633,3038,6308,6070,5901,2874,2842,4094,2090,737,35.4
"Coleman County, Texas",8391,4220,4171,504,539,517,385,305,989,822,985,718,617,1120,748,142,46.5
"Nolan County, Texas",14966,7669,7297,1094,1183,1002,1164,910,1591,1650,1682,1111,926,1491,837,325,38.5
"Hudspeth County, Texas",4098,2019,2079,207,362,280,235,274,648,347,508,334,264,385,213,41,37.6
"Medina County, Texas",49334,25551,23783,2891,3061,3442,3492,3486,6103,5643,6687,3387,3198,4795,2163,986,39.3
"Ward County, Texas",11586,5864,5722,848,908,902,822,872,1618,1410,1315,650,645,894,523,179,33.2
"Henderson County, Texas",80460,39097,41363,4537,4681,5081,5230,4356,8568,8690,10190,5983,5744,9977,5700,1723,43.9
"Harrison County, Texas",66645,32556,34089,4354,4977,4720,4844,3991,7842,8124,8253,4591,4269,6439,2959,1282,37.9
"Menard County, Texas",2123,1117,1006,26,140,117,69,55,298,177,352,161,164,327,174,63,49.1
"Lamar County, Texas",49532,23917,25615,3327,2989,3421,3276,2843,5932,5656,6370,3259,3232,5256,3069,902,40.8
"Fayette County, Texas",25066,12351,12715,1256,1533,1540,1391,1320,2317,2618,3037,2150,1881,3277,1970,776,47.0
"Williamson County, Texas",527057,259443,267614,35305,39362,40653,36058,29157,73635,85938,71680,28654,25929,38120,16238,6328,36.1
"Polk County, Texas",47837,25878,21959,2588,2638,2878,2707,2692,5478,5747,6363,3823,4015,5968,2196,744,43.6
"Refugio County, Texas",7236,3586,3650,470,438,501,569,358,753,751,889,524,433,874,463,213,41.9
"Caldwell County, Texas",41401,20893,20508,2577,2943,2606,3361,3419,5517,5119,5109,2834,2354,3347,1490,725,35.4
"Wilbarger County, Texas",12906,6347,6559,673,742,917,991,661,1865,1498,1486,1039,740,1329,767,198,37.8
"Reagan County, Texas",3752,1951,1801,264,397,314,272,222,559,552,375,240,207,169,99,82,31.4
"Hale County, Texas",34113,17751,16362,2392,2344,3045,2761,2678,4698,3986,4047,2033,1637,2418,1342,732,33.1
"Shelby County, Texas",25478,12572,12906,1781,1962,1917,1893,1605,2874,2922,3023,1669,1541,2393,1466,432,37.2
"Runnels County, Texas",10310,5233,5077,573,631,786,672,680,1047,1159,1234,661,740,1132,700,295,40.8
"San Jacinto County, Texas",27819,13718,14101,1542,1535,2038,1527,1398,2830,3153,3433,2133,2116,3873,1835,406,44.7
"Tom Green County, Texas",117466,58343,59123,8045,7575,8016,8791,9913,18429,12895,12734,7307,6300,9808,5225,2428,33.9
"Victoria County, Texas",91970,44999,46971,6568,6371,6729,6326,6150,12754,10914,10734,5638,5615,8163,3963,2045,35.7
"Waller County, Texas",49987,24869,25118,3371,3804,3205,5399,6604,5834,5034,5509,2916,2554,3697,1531,529,29.0
"Wichita County, Texas",131818,68325,63493,8617,8564,7984,10463,11987,19733,15035,14923,8612,7224,10103,5966,2607,34.3
"Wilson County, Texas",48198,24197,24001,2862,3042,3621,3489,2757,5428,5914,7037,3650,3169,4397,1782,1050,40.2
"Hockley County, Texas",23162,11428,11734,1558,1671,1822,1979,1778,3093,2659,2643,1487,1280,1809,923,460,33.5
"Maverick County, Texas",57970,28736,29234,5540,4796,4904,5194,4930,7450,6951,6309,2718,2582,3772,2245,579,29.6
"Midland County, Texas",164194,82543,81651,14261,13180,12007,10706,11559,28956,20904,17789,9523,8516,9254,5172,2367,31.7
"Live Oak County, Texas",12123,6634,5489,655,539,807,767,568,1783,1531,1396,814,840,1372,757,294,42.2
"Llano County, Texas",20640,10138,10502,796,886,811,715,870,1804,1431,2432,1363,2114,3982,2674,762,57.6
"Fannin County, Texas",34175,18034,16141,1722,1973,2259,2038,2131,4166,4038,4832,2381,2190,3623,1948,874,41.9
"Karnes County, Texas",15387,9133,6254,852,999,881,1167,1008,2859,2028,1723,920,800,1105,705,340,34.7
"Brazos County, Texas",219193,111074,108119,13546,11996,12633,21795,43936,35033,23625,19887,9539,8296,11177,5609,2121,26.2
"Cass County, Texas",30087,14692,15395,1482,1958,2162,1926,1420,3156,3314,3927,2148,2120,3653,2048,773,43.4
"Gaines County, Texas",20321,10320,10001,2190,1848,2152,1761,1228,2856,2395,2205,1117,804,972,545,248,27.9
"Gray County, Texas",22685,11903,10782,1641,1631,1617,1273,1414,3119,3021,2783,1538,1080,1862,1133,573,36.6
"Madison County, Texas",14128,8127,6001,648,978,948,565,1300,2721,1889,1597,608,812,1102,742,218,34.7
"Jack County, Texas",8842,4987,3855,493,449,577,647,603,1157,1171,1180,557,504,863,468,173,39.7
"Kendall County, Texas",41982,20415,21567,2138,2599,3124,3123,2249,3936,5123,5786,3238,2772,4557,2356,981,42.1
"Bosque County, Texas",18122,8935,9187,970,929,1294,1065,875,1725,1833,2292,1430,1281,2525,1377,526,46.7
"Bexar County, Texas",1925865,950030,975835,138622,138871,139171,139336,145695,305358,258061,234677,108990,93279,132567,65095,26143,33.4
"Bailey County, Texas",7092,3640,3452,491,655,408,550,581,940,926,715,366,460,494,416,90,33.5
"Baylor County, Texas",3591,1752,1839,178,264,208,176,236,272,354,467,348,216,438,335,99,47.3
"Cameron County, Texas",421750,204788,216962,35652,35812,36879,36264,31611,51385,52290,47020,21969,18687,30250,17532,6399,31.5
"Denton County, Texas",807047,397140,409907,52426,58124,59211,57237,53864,120505,125021,117565,49599,36830,50328,20174,6163,35.2
"Washington County, Texas",34796,17259,17537,2133,1924,2344,3063,2145,3348,3752,4018,2282,2548,3892,2112,1235,41.6
"Morris County, Texas",12424,5981,6443,708,814,852,745,632,1382,1491,1372,868,921,1397,891,351,43.0
"Stephens County, Texas",9372,4808,4564,479,700,552,730,489,1354,963,1049,603,660,975,498,320,38.6
"Harris County, Texas",4602523,2288295,2314228,352799,346412,342994,315136,321813,747301,657407,576550,261843,227941,282371,123989,45967,33.3
"Andrews County, Texas",17818,9102,8716,1551,1634,1449,1461,1113,2680,2193,2134,899,861,1043,563,237,31.2
"Gillespie County, Texas",26208,12731,13477,1302,1298,1622,1551,1180,2124,2609,2872,1763,2276,3920,2599,1092,50.3
"Gonzales County, Texas",20667,10448,10219,1507,1569,1599,1389,1315,2470,2265,2523,1491,1207,1903,1055,374,36.5
"Lynn County, Texas",5808,2977,2831,393,480,434,406,290,692,690,716,361,368,519,364,95,38.2
"Young County, Texas",18114,8930,9184,1093,1163,1321,1316,780,2072,1989,2265,1226,1304,1917,1096,572,41.4
"Zapata County, Texas",14369,7177,7192,1396,1837,897,952,1228,1762,1692,1458,594,554,1077,751,171,29.6
"Hood County, Texas",56901,28004,28897,3109,3220,3506,3474,2578,5914,5641,6942,4449,4261,7883,4531,1393,46.7
"Hopkins County, Texas",36240,17801,18439,2320,2452,2789,2279,2105,4356,4220,4652,2454,2135,3730,2159,589,39.5
"Ochiltree County, Texas",10348,5230,5118,904,834,999,906,531,1465,1467,1017,632,555,618,293,127,31.6
"King County, Texas",228,118,110,17,15,20,15,2,23,21,23,46,13,18,15,0,46.5
"Knox County, Texas",3733,1853,1880,279,272,316,239,250,378,319,460,248,289,334,242,107,39.5
"McLennan County, Texas",248429,121359,127070,17541,16956,16751,20889,26258,31956,28004,27705,14318,13611,19183,10742,4515,33.2
"Cherokee County, Texas",51903,26607,25296,3651,3897,3435,3731,3369,6056,6130,6506,2926,3427,5071,2665,1039,37.8
"Concho County, Texas",4233,2802,1431,121,188,133,575,226,502,588,643,261,241,428,225,102,41.9
"Delta County, Texas",5215,2527,2688,315,282,378,434,241,516,541,647,400,419,613,293,136,42.3
"Edwards County, Texas",2055,1062,993,120,132,63,156,89,140,163,367,122,134,334,219,16,49.3
"Eastland County, Texas",18270,9245,9025,979,1149,1008,1461,1120,1767,2052,2007,1348,1272,2215,1234,658,42.4
"Jones County, Texas",19891,12507,7384,888,913,1075,937,1363,3666,2979,2768,1407,927,1724,934,310,38.5
"Reeves County, Texas",15125,8689,6436,958,866,1005,1086,1137,2271,2455,1939,866,718,993,566,265,35.6
"Sabine County, Texas",10458,5072,5386,450,556,559,569,330,978,862,1189,1051,752,1827,975,360,52.7
"Sherman County, Texas",3058,1574,1484,190,176,208,224,168,347,443,493,158,216,231,170,34,40.4
"Swisher County, Texas",7484,4036,3448,477,508,542,530,368,1198,911,777,416,417,719,407,214,35.7
"Hunt County, Texas",92152,45279,46873,5804,6140,6305,6695,6266,11300,10817,12284,6545,5474,8628,4434,1460,37.8
"Camp County, Texas",12813,6220,6593,953,961,909,853,792,1400,1318,1696,835,795,1335,708,258,38.7
"Hansford County, Texas",5547,2783,2764,467,363,473,436,431,658,736,544,303,273,487,270,106,34.3
"Guadalupe County, Texas",155137,76850,78287,9910,11309,11397,11707,9540,19682,21641,21399,9868,7945,12567,6145,2027,36.7
"Clay County, Texas",10387,5195,5192,464,607,675,606,541,984,1154,1342,800,903,1340,721,250,46.2
"Hill County, Texas",35399,17603,17796,2113,2362,2355,2453,1970,3855,3796,4411,2611,2253,4097,2433,690,42.1
"Nacogdoches County, Texas",65558,31365,34193,4385,4600,3913,6473,8712,7719,6618,6766,4056,3324,5203,2769,1020,30.6
"Parmer County, Texas",9852,5059,4793,760,758,900,737,649,1320,1130,1201,524,597,730,412,134,33.9
"Presidio County, Texas",7123,3497,3626,506,533,575,650,257,545,891,846,346,378,864,617,115,41.8
"Val Verde County, Texas",49027,24925,24102,4192,3547,4027,3771,4126,7022,5701,5386,1863,2498,3825,2019,1050,31.7
"Ector County, Texas",158342,80249,78093,14526,13298,12743,11485,12562,26131,19808,17110,8353,7355,8654,4463,1854,30.3
"Glasscock County, Texas",1430,787,643,68,69,127,132,158,122,229,134,68,150,87,69,17,36.0
"Grimes County, Texas",27630,14892,12738,1534,1604,1975,1843,1701,3173,3608,3669,1951,2018,2901,1153,500,40.3
"Collin County, Texas",944350,464248,480102,59858,69836,76360,67986,53580,120753,151930,143663,56656,45688,62711,26801,8528,36.6
"Angelina County, Texas",87607,42659,44948,6011,6477,6320,6025,5531,11212,10568,11220,5567,5049,7768,3918,1941,37.2
"Cottle County, Texas",1623,792,831,166,137,158,98,31,180,79,229,116,79,209,102,39,37.9
"Hays County, Texas",204150,101636,102514,12742,13582,13391,17308,25542,28878,26754,23560,11592,9516,13864,5782,1639,31.6
"Lipscomb County, Texas",3469,1840,1629,268,305,203,248,170,553,316,399,248,229,262,181,87,34.9
"Matagorda County, Texas",36743,18319,18424,2579,2556,2764,2339,2361,4636,4015,4498,2328,2767,3214,1752,934,37.8
"Pecos County, Texas",15797,9010,6787,1102,1289,902,918,1006,2485,2267,2056,1031,743,1100,636,262,35.9
"Rockwall County, Texas",93642,46167,47475,5826,6996,8035,7237,4966,10679,14190,13418,6475,4729,6828,3092,1171,37.6
"Rusk County, Texas",53595,28379,25216,3167,3705,3292,3594,3263,7115,6993,6959,3744,3153,4874,2787,949,38.5
"Throckmorton County, Texas",1567,694,873,84,49,82,128,98,175,117,213,101,130,207,142,41,46.6
"Walker County, Texas",71539,41642,29897,3120,3108,2959,5491,10647,10015,9805,9702,4367,3608,5197,2269,1251,35.4
"Wood County, Texas",43815,21807,22008,2138,2208,2656,2751,2115,4129,4211,5300,3464,3073,6759,3661,1350,48.2
"Aransas County, Texas",24763,12026,12737,1207,1244,1379,1351,1446,2010,2483,3240,1820,2002,3829,2119,633,49.6
"Childress County, Texas",7226,4449,2777,345,384,409,394,736,1813,878,601,316,395,436,383,136,30.9
"Coke County, Texas",3275,1606,1669,103,125,279,209,92,212,426,465,255,217,492,304,96,50.3
"Coryell County, Texas",75389,37630,37759,5353,4750,5146,4458,8425,14423,10877,8429,3643,2872,4224,1970,819,31.5
"Hemphill County, Texas",4061,1965,2096,260,356,473,370,162,391,609,443,257,200,326,148,66,35.2
"Moore County, Texas",21801,11438,10363,1950,1974,1980,1699,1682,2953,2666,2415,1179,1039,1394,568,302,30.2
"Navarro County, Texas",48583,23845,24738,3492,3280,3829,3489,2814,5587,5639,6170,3384,2815,4566,2518,1000,38.6
"San Augustine County, Texas",8327,4085,4242,394,364,585,602,258,815,714,1154,714,593,1230,677,227,49.4
"Shackelford County, Texas",3311,1770,1541,207,248,167,336,108,380,297,453,354,152,330,211,68,43.0
"Starr County, Texas",63894,31073,32821,6460,5426,5856,5551,5256,8313,7619,6989,2756,2535,4001,2305,827,28.7
"Upton County, Texas",3634,1843,1791,341,239,317,264,162,418,456,447,248,196,307,179,60,37.2
"Bastrop County, Texas",82577,42014,40563,5457,5301,6600,5916,4875,9376,10342,11192,5920,5873,7595,2948,1182,38.6
"Hall County, Texas",3074,1546,1528,124,152,295,275,144,251,330,371,173,250,377,243,89,43.5
"Franklin County, Texas",10679,5362,5317,587,672,840,794,526,1066,1129,1322,789,733,1283,755,183,43.0
"Frio County, Texas",19394,11580,7814,1166,1182,1174,1763,2021,3553,2385,2094,775,900,1356,841,184,31.4
"Lampasas County, Texas",20640,10187,10453,1136,1114,1510,1497,967,2185,2601,2851,1434,1582,2294,1070,399,42.2
"Mason County, Texas",4161,2146,2015,213,124,297,351,200,316,445,533,318,320,643,331,70,46.9
"Dickens County, Texas",2216,1143,1073,109,103,173,146,82,200,323,246,128,193,276,204,33,43.9
"Tarrant County, Texas",2019977,988765,1031212,144494,151834,154147,143146,135990,300991,277505,269412,121880,103987,132708,60433,23450,34.3
"Anderson County, Texas",57863,35412,22451,2991,2985,3276,3040,3562,8821,9905,8259,3227,3598,4859,2481,859,39.1
"Jackson County, Texas",14820,7226,7594,1053,1104,1038,895,890,1638,1995,1693,1124,899,1309,788,394,38.5
"Milam County, Texas",24664,12343,12321,1548,1579,1706,1897,1388,2762,2322,3165,1590,1845,2839,1402,621,41.3
"Comanche County, Texas",13495,6738,6757,762,809,900,1012,572,1278,1438,1646,837,980,1826,1088,347,44.8
"Brooks County, Texas",7180,3724,3456,501,494,503,561,978,831,801,747,302,349,649,412,52,32.7
"Titus County, Texas",32730,16046,16684,2534,2832,2593,2528,2359,4047,3877,3994,1750,1738,2598,1382,498,33.8
"Liberty County, Texas",81862,40439,41423,5715,5789,5927,5526,5518,11704,10271,10863,5591,4421,6603,3154,780,35.7
"Wise County, Texas",64639,32424,32215,4302,4380,4564,4366,3784,8020,7761,9171,4731,4058,5997,2504,1001,38.4
"Jim Wells County, Texas",41192,20178,21014,3041,3107,3521,3174,2596,5304,5092,4722,2210,2414,3425,1980,606,34.8
"Dimmit County, Texas",10663,5186,5477,1015,746,981,864,523,1344,1457,923,435,641,927,515,292,33.7
"Fort Bend County, Texas",739342,363177,376165,51655,58222,59504,54665,43098,91278,113334,104353,47261,41118,49623,18833,6398,36.0
"Irion County, Texas",1524,836,688,60,102,141,127,87,122,140,214,104,138,145,94,50,44.1
"Cooke County, Texas",39571,19660,19911,2677,2627,2440,2643,2550,4818,4226,4932,2641,2973,4111,2154,779,40.4
"Dawson County, Texas",12964,7235,5729,852,740,1067,743,1285,2157,1630,1333,708,601,977,610,261,33.0
"Burleson County, Texas",17863,8977,8886,1092,1152,1009,1174,1040,1986,2000,2102,1281,1399,2103,1120,405,42.6
"Jefferson County, Texas",255210,130660,124550,17595,17385,16171,16490,18238,37482,32341,32075,17101,14877,19797,11079,4579,36.0
"Oldham County, Texas",2090,1145,945,117,137,310,258,118,175,220,188,145,128,195,74,25,29.8
"El Paso County, Texas",837654,411682,425972,65182,61152,66845,64636,71442,123364,104799,97217,46419,39134,54577,30595,12292,32.0
"Terrell County, Texas",862,429,433,8,57,32,16,32,73,128,118,48,77,151,79,43,51.9
"Uvalde County, Texas",27009,13083,13926,2006,2037,2012,2176,1954,3511,3090,2859,1267,1562,2560,1630,345,33.9
"Archer County, Texas",8789,4326,4463,430,448,638,563,529,881,976,1282,656,692,908,589,197,44.5
"Hidalgo County, Texas",849389,415443,433946,80050,76370,79880,73722,66114,113177,109326,91054,36396,33050,50543,29323,10384,29.1
"Somervell County, Texas",8743,4192,4551,504,380,771,415,701,1020,956,1163,624,634,950,403,222,40.9
"Haskell County, Texas",5809,3071,2738,243,331,322,366,429,709,740,661,228,519,678,371,212,42.4
"Mills County, Texas",4902,2329,2573,177,314,451,382,167,319,366,592,393,328,711,476,226,50.6
"Newton County, Texas",14057,7233,6824,679,640,898,1416,716,1191,1752,2005,845,1157,1613,872,273,44.3
"Kimble County, Texas",4408,2154,2254,270,203,203,332,160,247,432,440,360,488,701,399,173,52.9
"Van Zandt County, Texas",54368,26619,27749,3030,3341,3852,3741,2836,5606,6153,7182,3684,4005,6347,3620,971,42.9
"Martin County, Texas",5614,2934,2680,468,467,545,443,401,641,606,854,311,223,378,235,42,32.2
"Yoakum County, Texas",8571,4438,4133,783,964,668,468,678,1229,1017,863,621,309,589,318,64,31.2
"Red River County, Texas",12275,5986,6289,518,547,911,818,677,1173,1424,1473,1032,799,1667,917,319,45.6
"Sutton County, Texas",3865,2116,1749,253,299,255,167,232,575,486,373,334,238,405,141,107,38.4
"Upshur County, Texas",40769,20224,20545,2548,2901,2728,2726,2278,4367,4722,5383,3256,2762,4092,2359,647,40.9
"Wharton County, Texas",41551,20395,21156,2827,2904,3245,3010,2643,5060,4611,5087,3087,2310,3729,2131,907,37.2
"Borden County, Texas",665,346,319,90,17,30,42,23,90,61,58,43,38,105,49,19,42.5
"Marion County, Texas",10083,4915,5168,435,536,554,606,379,911,1016,1367,851,884,1500,896,148,50.1
"Grayson County, Texas",128560,62737,65823,8066,8267,9100,8466,7771,15528,15026,16509,9361,8176,13191,6592,2507,39.9
"Palo Pinto County, Texas",28317,13987,14330,1726,2011,1744,1969,1562,3300,2985,3629,1813,2159,3122,1735,562,40.5
"DeWitt County, Texas",20435,10577,9858,1302,1378,1134,1190,879,2446,2839,2488,1412,1437,2101,1293,536,40.9
"Callahan County, Texas",13770,6763,7007,733,799,1118,848,635,1520,1474,1825,1035,1032,1565,927,259,42.9
"Gregg County, Texas",123494,60208,63286,9322,9310,8434,8245,8595,17098,14731,14571,8105,6878,10055,5425,2725,35.4
"Lubbock County, Texas",301454,148631,152823,20437,19739,20780,25447,37594,44283,34465,31396,16549,14674,20375,11331,4384,30.7
"Kaufman County, Texas",118910,58360,60550,8545,8799,9932,8701,6654,15677,16626,15891,7933,6116,8585,4244,1207,35.6
"Floyd County, Texas",5872,2885,2987,381,386,517,407,358,681,733,583,383,346,573,366,158,36.9
"Chambers County, Texas",40292,20377,19915,2794,3250,3140,3022,2524,5286,5489,5660,2550,2169,2831,1201,376,35.4
"Bell County, Texas",342236,170918,171318,29639,26525,24832,23615,30780,58312,43827,37066,17650,14791,21108,9933,4158,30.8
"Hutchinson County, Texas",21571,10797,10774,1424,1718,1444,1501,1343,2634,2713,2477,1415,1515,1902,1151,334,37.3
"Orange County, Texas",84047,41630,42417,5725,5807,5808,5345,5299,10653,10243,11068,5970,5223,7443,4066,1397,37.8
"Winkler County, Texas",7802,3977,3825,649,714,646,698,548,944,975,942,441,356,472,294,123,32.5
"Burnet County, Texas",45750,22642,23108,2423,2502,3042,2908,2760,4428,5283,5471,3465,3529,5930,3054,955,44.2
"Dallas County, Texas",2586552,1275226,1311326,195852,194682,188069,175401,183838,421527,359293,327994,149682,126422,160112,73856,29824,33.3
"McMullen County, Texas",662,387,275,45,54,56,19,24,82,125,35,58,27,75,42,20,40.2
"Johnson County, Texas",163475,81568,81907,10772,12070,12313,11668,10001,20689,21405,21985,11444,8798,13666,6700,1964,36.8
"Hartley County, Texas",5767,3411,2356,311,325,389,235,172,1115,1031,745,359,258,446,320,61,39.1
"Limestone County, Texas",23515,12056,11459,1508,1359,1544,1614,1391,2907,2780,2869,1560,1700,2541,1307,435,40.0
"Parker County, Texas",129802,64448,65354,7993,9003,9467,8811,7444,14842,16093,18625,9861,8124,12182,5508,1849,39.7
"Culberson County, Texas",2241,1231,1010,195,156,110,109,90,374,173,294,199,113,217,140,71,43.0
"Garza County, Texas",6288,4070,2218,269,238,274,394,516,1075,1172,887,402,280,408,304,69,39.0
"Travis County, Texas",1203166,607356,595810,78751,75966,73312,72912,82452,241541,190102,152905,67198,57677,70442,27992,11916,33.9
"Collingsworth County, Texas",2996,1496,1500,185,191,245,171,201,321,383,351,233,173,313,124,105,39.2
"Lamb County, Texas",13262,6710,6552,970,1059,1071,934,877,1571,1448,1536,918,734,1050,777,317,36.0
"Loving County, Texas",102,58,44,19,5,0,0,3,11,11,0,14,14,22,3,0,55.4
"Robertson County, Texas",16890,8296,8594,979,1165,1236,1032,1077,1752,1856,2299,1117,1177,1911,864,425,40.9
