county_name,total_cases,total_fatalities,death_rate,sex_age_median_age_in_years,health_ins_noninst_pop_private,health_ins_noninst_pop_public,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,pop_density,percent_race_pop_hispanic_or_latino_of_any_race,percent_race_pop_white_alone,percent_race_pop_black_or_african_american_alone,percent_race_pop_american_indian_and_alaska_native_alone,percent_race_pop_asian_alone,percent_race_pop_native_hawaiian_and_other_pacific_islander_alone,percent_race_pop_some_other_race_alone,percent_race_pop_two_or_more_races,percent_sex_age_pop_male,percent_sex_age_pop_female,percent_sex_age_pop_under_5,percent_sex_age_pop_5_to_9,percent_sex_age_pop_10_to_14,percent_sex_age_pop_15_to_19,percent_sex_age_pop_20_to_24,percent_sex_age_pop_25_to_34,percent_sex_age_pop_35_to_44,percent_sex_age_pop_45_to_54,percent_sex_age_pop_55_to_59,percent_sex_age_pop_60_to_64,percent_sex_age_pop_65_to_74,percent_sex_age_pop_75_to_84,percent_sex_age_pop_85_and_over,percent_health_ins_noninst_pop_cov_yes,percent_health_ins_noninst_pop_cov_no,percent_inc_hhlds_less_than_10_000,percent_inc_hhlds_10_000_to_14_999,percent_inc_hhlds_15_000_to_24_999,percent_inc_hhlds_25_000_to_34_999,percent_inc_hhlds_35_000_to_49_999,percent_inc_hhlds_50_000_to_74_999,percent_inc_hhlds_75_000_to_99_999,percent_inc_hhlds_100_000_to_149_999,percent_inc_hhlds_150_000_to_199_999,percent_inc_hhlds_200_000_or_more
kinney,72.0,1,0.013888888888888888,41.7,1772,1586,31468,49372,20323,30444,41530,35125,2.7020966063872414,0.6250340136054422,0.3741496598639456,0.0008163265306122449,0.0,0.0,0.0,0.0,0.0,0.6231292517006802,0.3768707482993197,0.0236734693877551,0.04136054421768708,0.07700680272108844,0.051700680272108834,0.05877551020408162,0.15755102040816327,0.10639455782312923,0.13659863945578232,0.09414965986394558,0.04843537414965986,0.1363265306122449,0.033197278911564626,0.03482993197278912,0.8537584088914887,0.14624159110851126,0.07179487179487179,0.07008547008547009,0.2606837606837607,0.14786324786324787,0.10512820512820513,0.09743589743589744,0.1034188034188034,0.12307692307692307,0.01282051282051282,0.007692307692307694
kleberg,999.0,51,0.05105105105105105,28.0,17697,11055,42021,58413,21986,24008,49596,30959,35.657308585213315,0.7270962609387429,0.20426412092283214,0.0288623707239459,0.0005091487669053301,0.022116149562450282,0.0,0.0020365950676213204,0.015115354017501987,0.5108035003977724,0.4891964996022276,0.07070803500397772,0.0730310262529833,0.0609387430389817,0.09396976929196499,0.15201272871917262,0.13893396976929195,0.10405727923627683,0.0899920445505171,0.041400159108989656,0.04649164677804296,0.07236276849642005,0.040827366746221165,0.015274463007159903,0.8267924774715946,0.17320752252840538,0.15046592362506853,0.061118216700164436,0.13118947560752786,0.08477982824776174,0.15713502649369632,0.1328339119312991,0.1064315731774164,0.11337474876667275,0.03645167184359584,0.026219623606797
knox,111.0,8,0.07207207207207207,39.5,2051,1452,46146,57553,21796,29537,43333,37692,4.388537839823658,0.33994106616662206,0.5869274042325208,0.05705866595231718,0.0010715242432360033,0.001339405304045004,0.0,0.0,0.013661934101259042,0.4963836056790785,0.5036163943209215,0.07473881596571122,0.07286364854004823,0.08465041521564426,0.0640235735333512,0.0669702652022502,0.10125904098580232,0.08545405839807126,0.12322528797214034,0.0664345030806322,0.07741762657380122,0.08947227431020628,0.0648272167157782,0.028663273506563086,0.8417827298050139,0.15821727019498608,0.08646616541353383,0.04135338345864661,0.13609022556390976,0.14360902255639094,0.1255639097744361,0.16090225563909774,0.15413533834586465,0.1150375939849624,0.023308270676691733,0.013533834586466164
la salle,369.0,9,0.024390243902439025,33.8,3469,2035,51792,79335,25129,23943,38947,28830,4.983507140627859,0.8238628694830611,0.15184235389391282,0.01268727223646916,0.0,0.0016196517748684033,0.0,0.0,0.009987852611688488,0.5949520853016601,0.40504791469833984,0.06856525846942907,0.07180456201916588,0.03873667161560265,0.05641787015791605,0.08165744364961533,0.20232150087731135,0.1197192603590228,0.1329464165204481,0.0489944661897692,0.03927655554055878,0.08975570252395734,0.044675394790120115,0.005128897287083278,0.7488796167516613,0.25112038324833874,0.06859205776173287,0.11236462093862816,0.10243682310469314,0.04016245487364621,0.1421480144404332,0.3055054151624549,0.07084837545126353,0.03700361010830325,0.06633574007220218,0.0546028880866426
lamar,1644.0,13,0.007907542579075427,40.8,27453,19037,43562,59148,23833,28920,47543,31120,54.59990894871034,0.07679883711540014,0.7470927885003634,0.12385932326576758,0.0039166599370104175,0.008661067592667366,0.002240975530969878,0.00038359040620205117,0.03704675765161915,0.4828595655333925,0.5171404344666074,0.06716869902285391,0.0603448275862069,0.06906646208511669,0.06613906161673262,0.05739723814907535,0.11976096261002987,0.1141888072357264,0.12860373092142455,0.06579584914802551,0.06525074699184366,0.10611321973673583,0.06195994508600501,0.01821044981022369,0.8281230844673286,0.17187691553267131,0.11116864288303216,0.06223787086418475,0.11437891575622634,0.12121369026044633,0.14642986589343965,0.17470097861544034,0.11225599337233988,0.10091648112670222,0.0350023300367628,0.02169523119142546
lamb,482.0,45,0.09336099585062241,36.0,6496,4833,43396,57348,21506,27217,40910,31167,13.050824607033588,0.5523299653144322,0.396018700045242,0.03332830643945106,0.002488312471723722,0.005429045392851757,0.0,0.0,0.0104056703362992,0.5059568692504901,0.4940431307495099,0.07314130598703061,0.07985220931986126,0.08075705021866987,0.07042678329060474,0.06612878902126376,0.11845875433569596,0.10918413512290756,0.11581963504750414,0.0692203287588599,0.0553461016437943,0.07917357864575479,0.058588448197858536,0.02390288041019454,0.7703261368856225,0.2296738631143776,0.0702566259991586,0.10201935212452673,0.11400925536390408,0.12957509465713082,0.14997896508203618,0.19941102229701305,0.09171224232225494,0.10054690786705933,0.01514514093395036,0.027345393352965926
lampasas,298.0,23,0.07718120805369127,42.2,13784,7502,58194,73074,28158,30331,52763,35051,28.954563500135368,0.19500968992248066,0.7257751937984496,0.04375,0.0012112403100775196,0.01007751937984496,0.003052325581395349,0.003779069767441861,0.017344961240310076,0.4935562015503876,0.5064437984496124,0.05503875968992248,0.05397286821705426,0.07315891472868218,0.07252906976744186,0.04685077519379845,0.1058624031007752,0.12601744186046512,0.1381298449612403,0.06947674418604652,0.07664728682170542,0.11114341085271318,0.05184108527131783,0.01933139534883721,0.8523367256199981,0.147663274380002,0.08154561902300336,0.029594210390281726,0.07818557766864823,0.07883173946756268,0.17162057379167744,0.1872576893254071,0.1258723184285345,0.14060480744378392,0.06668389764797106,0.039803566813130006
lavaca,1110.0,39,0.03513513513513514,43.5,13831,6348,53021,77669,31670,32738,47562,34030,20.563901129101623,0.18524647710746706,0.7388796951005466,0.06293566019758287,0.0004513314277117497,0.0035605034852815814,0.0,0.00010029587282483327,0.008826036808585326,0.4856326162178426,0.5143673837821574,0.05962589639436337,0.07045785065944536,0.06960533574043429,0.05982648814001304,0.0518529662504388,0.10340504488240307,0.09723684870367584,0.1200541597713254,0.06609498019156512,0.07371746652625244,0.11814853818765357,0.07436938969961386,0.035605034852815805,0.8881882497693018,0.11181175023069824,0.04448169159360496,0.08084063950489942,0.09992264053635896,0.092057761732852,0.15072202166064982,0.17870036101083034,0.10495100567302733,0.14608045384218668,0.048607529654461065,0.05363589479112945
lee,235.0,14,0.059574468085106386,41.5,11420,5353,55000,67793,25876,31188,47531,33876,26.949001653312987,0.2341906559697971,0.6355002359603587,0.11143227937706464,0.0,0.009733364794714488,0.0,0.0015337423312883436,0.007609721566776782,0.5048371873525248,0.4951628126474753,0.05385795186408683,0.06895941481831053,0.055332704105710236,0.08294006606890042,0.05627654554034922,0.09845445965077868,0.12529495044832467,0.12753657385559225,0.0712010382255781,0.07692307692307693,0.10169891458235016,0.05999292118924021,0.021531382727701748,0.87302164817173,0.12697835182826994,0.061598951507208385,0.07290301441677588,0.09796854521625163,0.08043905635648754,0.14187418086500656,0.22182175622542594,0.13155307994757534,0.11238532110091744,0.04849279161205767,0.03096330275229358
leon,319.0,11,0.034482758620689655,45.0,9834,7052,44818,80589,32130,30530,53154,30528,15.932445981758478,0.14370101766288454,0.763130190665575,0.0686630015206457,0.004971341677389168,0.007954146683822669,0.003041291379108668,0.0,0.008539010410574336,0.5030997777517838,0.4969002222482162,0.0628728506258042,0.06684992396771552,0.060767341209498185,0.060767341209498185,0.045443911568604514,0.09825710609428004,0.1046321207158732,0.11334659024447305,0.0734003977073342,0.07462861153351269,0.13750146215931688,0.07065153819160136,0.030880804772488012,0.8203258248544375,0.17967417514556255,0.055848935829732764,0.05872939670347256,0.12626020163226115,0.14530324851976315,0.13250120019203074,0.14274283885421668,0.11185789726356216,0.118899023843815,0.04688750200032005,0.060969755160825735
liberty,2266.0,57,0.025154457193292144,35.7,40606,26179,49850,66052,22757,33609,50966,35476,70.66907806989904,0.23329505753585306,0.6452932984779263,0.09848281253817402,0.0037990764945884533,0.0061078400234541065,9.772544037526569e-05,0.0004519801617356038,0.012472209327893285,0.4939898854169212,0.5060101145830789,0.06981261146808042,0.07071657179155164,0.07240233563802496,0.06750384793921478,0.06740612249883951,0.14297231926901371,0.12546724976179424,0.1326989323495639,0.06829786714226381,0.054005521487381206,0.08066013534973493,0.038528254867948496,0.009528230436588405,0.8096633875393161,0.19033661246068392,0.06335152463458382,0.05900087776208831,0.1150631607067893,0.11826890050757545,0.1457085066595428,0.1941380757928481,0.1218944395679884,0.11334580009922528,0.035644773499217644,0.033583940770140826
limestone,659.0,16,0.024279210925644917,40.0,11644,9453,42680,57409,21822,25553,36608,31293,25.971085561556393,0.21692536678715715,0.5875398681692536,0.1725706995534765,0.0038273442483521157,0.007527110355092494,0.002679140973846481,0.002551562832234744,0.00637890708058686,0.5126940250903679,0.4873059749096321,0.0641292791834999,0.05779289815011695,0.06566021688284074,0.06863704018711461,0.05915373166064215,0.12362321922177336,0.11822241122687645,0.12200722942802468,0.06634063363810334,0.07229428024665108,0.1080586859451414,0.05558154369551351,0.01849883053370189,0.7923121055651177,0.2076878944348824,0.08128289876361856,0.06487942220590036,0.13428816256579754,0.14102093279471173,0.15460888725670216,0.19684171869261846,0.08189496878442894,0.09511568123393316,0.034398335169543395,0.015668992532745746
lipscomb,66.0,1,0.015151515151515152,34.9,2284,903,57372,73911,28491,31290,54271,28693,3.721360329376326,0.3029691553761891,0.6491784375900836,0.0051888152205246466,0.019890458345344482,0.0025944076102623233,0.0,0.0,0.02017872585759585,0.5304122225425194,0.4695877774574805,0.07725569328336697,0.08792159123666762,0.05851830498702796,0.07149034303833958,0.049005477082732785,0.15941193427500722,0.0910925338714327,0.11501873738829635,0.07149034303833958,0.06601326030556356,0.07552608820985875,0.05217641971749784,0.025079273565869125,0.8098714953271028,0.1901285046728972,0.04538216560509554,0.0804140127388535,0.06369426751592358,0.1265923566878981,0.10111464968152868,0.18789808917197454,0.16401273885350318,0.14410828025477707,0.05414012738853504,0.032643312101910835
