county_state,total_cases,total_fatalities,death_rate,total_tests,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,obes_percent,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density
"Alameda County, California",23099.0,460.0,0.019914282003549937,613097,1643700,369061,523391,172329,5288,483067,13192,4977,72395,1643700,807171,836529,97506,96428,95792,93865,103705,271867,244557,224507,106455,93101,126820,60948,28149,37.4,737.3,0.067,1634128,1550217,1198843,497191,83911,572870,24255,21621,33723,33965,47322,76730,66253,104464,67134,97403,92574,122575,44283,72088,60135,1.9914282003549937,1.4053051043377744,37.299811401107256,2229.3503322935035
"Marin County, California",7042.0,128.0,0.018176654359556944,136692,260295,41335,185809,5597,435,14815,292,2453,9559,260295,127113,133182,12292,15188,16044,14371,11859,22746,31827,41362,20429,19552,32032,15888,6705,46.5,520.457,0.063,255552,245300,202769,82068,10252,105258,3448,2877,5474,5554,7858,12246,10687,17758,11730,27626,110217,168429,69275,99141,75500,1.8176654359556943,2.705391959123302,52.5142626635164,500.12777232316984
"San Diego County, California",54330.0,868.0,0.01597644027240935,994760,3302833,1106925,1515380,155536,12282,382336,12811,6366,111197,3302833,1661931,1640902,211969,198148,197726,209496,262118,541385,436855,420221,201666,183654,251516,127904,60175,35.6,4208.764,0.073,3204470,2924868,2185866,1056014,279602,1118980,51029,39441,78317,84271,122572,184805,144979,197632,98349,117585,74855,101302,36156,54315,47567,1.597644027240935,1.6449514704497625,30.118386245989427,784.751295154587
"Glenn County, California",650.0,3.0,0.004615384615384616,8311,27897,11504,14507,223,414,820,17,0,412,27897,14171,13726,2051,1760,2347,2031,1784,3447,3385,3382,1652,1758,2445,1363,492,36.6,1313.9679999999996,0.101,27593,24949,14843,13665,2644,10017,857,863,1233,802,1493,2016,1070,1161,334,188,47395,60614,21736,39370,30973,0.46153846153846156,2.329999641538517,29.791733878194787,21.231110651096532
"Siskiyou County, California",174.0,0.0,0.0,10549,43540,5336,33390,619,1283,671,120,33,2088,43540,21706,21834,2257,2695,2309,2459,2028,4439,4286,5085,3768,3751,6451,2829,1183,48.0,6278.768,0.07400000000000001,43429,40379,23600,23976,3050,19257,1554,1307,2680,2194,2869,3504,2157,1939,619,434,44200,63208,28130,47402,37909,0.0,0.39963252181901704,24.228295819935692,6.934481414188261
"Madera County, California",4898.0,74.0,0.015108207431604738,59390,155013,88806,53531,4835,1504,3047,136,443,2711,155013,74683,80330,11807,11847,12193,11303,10848,21466,19585,18065,8898,8204,12760,5764,2273,33.9,2136.928,0.115,147037,133253,74326,77490,13784,44759,2850,2516,4282,4498,7099,8371,5195,6527,1832,1589,52884,69614,21394,42195,35456,1.5108207431604739,3.159734989968583,38.31291569094205,72.54011365848545
"Tehama County, California",872.0,8.0,0.009174311926605505,19866,63373,15623,43539,420,1013,964,17,24,1773,63373,31504,31869,3867,4283,4463,3872,3554,7538,7003,8006,4489,4333,7013,3481,1471,40.9,2949.137,0.08900000000000001,62838,58226,34534,33186,4612,24025,1658,1774,3749,2885,3363,4385,2530,2258,776,647,42899,58939,23126,41083,32444,0.9174311926605505,1.3759803070708347,31.347734839758257,21.48865922471557
"Sutter County, California",1804.0,12.0,0.006651884700665189,27298,95872,29354,44769,1793,676,14532,367,211,4170,95872,47789,48083,6614,7219,7031,6583,6204,13284,11641,11722,5701,5645,7826,4618,1784,35.7,602.53,0.121,94632,85514,52327,44432,9118,32360,1593,1561,3284,3286,4552,6202,3959,4862,1721,1340,56955,75716,26070,47280,37229,0.6651884700665189,1.881675567423231,28.473381174899863,159.11572867741026
"Napa County, California",1957.0,15.0,0.007664793050587634,66469,140530,47687,74159,2764,326,11210,264,516,3604,140530,70082,70448,7318,7449,9619,9036,8888,17269,17769,18925,9560,9337,14353,7545,3462,41.1,748.31,0.08199999999999999,138703,129688,101997,47481,9015,49032,1582,1465,3053,3219,5131,7700,6142,9278,4977,6485,84753,116922,42677,55883,53002,0.7664793050587635,1.3925852131217533,47.298797409805736,187.79650144993386
"Los Angeles County, California",296323.0,6989.0,0.023585749334341242,6519149,10098052,4893603,2659052,795505,20307,1451560,24821,29924,223280,10098052,4976788,5121264,624745,607905,626594,654903,738416,1609935,1387454,1369838,631221,547764,734393,384700,180184,36.2,4058.193,0.084,10030450,8943793,5804610,3809323,1086657,3306109,192319,168753,296864,282438,386040,534611,396793,500603,239855,307833,64251,94484,32469,46707,42455,2.358574933434124,2.9344570616194092,64.55848118033062,2488.3124089958264
