county_state,total_cases,total_fatalities,death_rate,total_tests,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,obes_percent,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density
"Saratoga County, New York",1308.0,15.0,0.01146788990825688,133855,227377,7059,206104,3489,423,6453,21,313,3515,227377,112468,114909,11778,13349,12969,14488,13300,26831,28533,35002,17270,15120,23450,10870,4417,42.6,809.9960000000002,0.076,224396,216436,184834,66236,7960,93876,2888,2457,6036,6069,10005,16029,13909,19710,8826,7947,80839,100650,41709,68003,51573,1.1467889908256879,0.5752560725139305,58.86919081525396,280.7137319196637
"Schenectady County, New York",1546.0,48.0,0.03104786545924968,109760,154883,10707,113649,14824,319,6967,66,3064,5287,154883,75453,79430,9017,8893,9757,9883,10373,19968,18915,21250,11243,10069,13688,7303,4524,39.9,204.58,0.102,153101,145775,108669,58674,7326,53295,2687,2811,4842,4677,6347,9241,7403,9089,3613,2585,63785,80867,31412,53370,44689,3.104786545924968,0.9981728143179045,70.86639592466571,757.0779157297878
"Schoharie County, New York",109.0,2.0,0.01834862385321101,12518,31364,972,29308,472,49,271,0,1,291,31364,15620,15744,1350,1610,1609,2504,2081,3247,3238,4401,2636,2329,3770,1862,727,45.1,621.819,0.097,31286,29976,22230,13339,1310,12559,619,768,1265,1304,1851,2340,1722,1753,565,372,53989,68583,28712,50991,40124,1.834862385321101,0.3475322025251881,39.912001020278026,50.43911491929324
"Schuyler County, New York",116.0,2.0,0.017241379310344827,12437,17992,313,17133,162,31,107,0,10,236,17992,8979,9013,915,922,978,1042,935,2043,1909,2694,1554,1396,2131,1103,370,46.2,328.343,0.09,17804,16813,11802,7811,991,7304,361,394,983,645,1156,1293,1168,984,221,99,51479,63289,26484,49426,36906,1.7241379310344827,0.6447309915518008,69.12516674077368,54.79635624940991
"Seneca County, New York",140.0,2.0,0.014285714285714284,18649,34612,1158,30873,1617,135,242,0,8,579,34612,18096,16516,1897,1651,2095,1919,2247,4669,3865,4784,2896,2267,3673,1890,759,42.2,323.709,0.112,31836,28764,22115,12653,3072,13522,688,622,1529,1525,1786,2820,1961,1726,484,381,54695,69516,27366,50004,37389,1.4285714285714284,0.4044839939905235,53.88015717092338,106.92319336193927
"St. Lawrence County, New York",386.0,4.0,0.010362694300518135,81874,109558,2532,100770,2429,828,1125,68,154,1652,109558,55780,53778,5814,6218,6563,9808,9299,12857,11838,14315,7798,7164,10269,5197,2418,38.9,2679.269,0.102,105917,99649,73039,43408,6268,41669,2613,2995,5256,4566,5641,7683,5480,5030,1370,1035,49305,63127,24473,50806,39305,1.0362694300518136,0.35232479599846656,74.73119261030688,40.89100422540626
"Steuben County, New York",962.0,69.0,0.07172557172557173,48976,96927,1571,90861,1472,102,1484,12,117,1308,96927,48397,48530,5413,6000,5906,6073,5466,11105,11141,13399,7743,6792,10163,5510,2216,42.6,1390.549,0.113,95781,90203,63935,41866,5578,40183,2398,2366,4407,4563,5780,7885,5076,5068,1471,1169,51789,68301,28600,48709,40110,7.172557172557173,0.9924995099404708,50.528748439547286,69.70412405460002
"Suffolk County, New York",48663.0,2019.0,0.041489427285617414,1034857,1487901,281315,1013391,108250,2145,56714,305,6011,19770,1487901,732269,755632,80227,85048,95973,99916,97917,172284,179030,231671,110693,96003,135037,71937,32165,41.3,911.777,0.077,1474764,1395088,1152258,439865,79676,487981,16865,12132,26774,27481,39863,66832,61792,99675,62648,73919,96675,123111,42204,68738,53560,4.1489427285617415,3.270580502331808,69.55146881412136,1631.8694154382047
"Sullivan County, New York",1743.0,37.0,0.021227768215720026,36505,75211,11836,54110,5706,133,1176,0,323,1927,75211,38595,36616,4229,4274,4657,4698,4252,8917,8416,11044,6047,5125,8372,4029,1151,42.9,968.137,0.096,73075,68586,47405,33113,4489,27890,1695,1487,2982,2975,3728,4786,3815,3655,1620,1147,56256,74996,29292,50158,40738,2.1227768215720024,2.31748015582827,48.53678318331095,77.68631918829671
"Tioga County, New York",572.0,25.0,0.04370629370629369,29444,49045,927,46642,292,82,346,0,28,728,49045,24264,24781,2582,2792,3142,2968,2822,5168,5517,6911,4464,3244,5290,2928,1217,44.0,518.61,0.096,48665,46526,35084,19244,2139,20045,821,1201,1921,2084,2229,3785,2790,3357,1085,772,60736,76161,31330,52479,42377,4.370629370629369,1.1662758690998063,60.034662045060664,94.5701008464935
"Tompkins County, New York",603.0,0.0,0.0,403145,102962,5156,79657,3808,150,10332,31,365,3463,102962,50823,52139,4254,4152,4219,12860,17695,13114,10452,10747,5836,6072,8205,3344,2012,30.9,474.641,0.065,102106,98366,81353,29214,3740,39326,3934,1926,3144,3853,4216,7038,4836,5307,2306,2766,58743,80256,31464,54171,47970,0.0,0.5856529593442241,391.5473669897632,216.9260556926182
"Ulster County, New York",2471.0,84.0,0.0339943342776204,115675,179303,17976,142515,9614,130,3389,131,490,5058,179303,88774,90529,7950,8819,9595,11075,11932,21959,20768,26409,14550,12911,19683,9557,4095,43.7,1124.236,0.079,175004,164765,122163,68267,10239,69539,3459,3748,6384,6343,8142,12492,8659,11088,4826,4398,63348,84423,33879,54182,44973,3.39943342776204,1.3781141419831235,64.5137002727227,159.48875503008264
"Warren County, New York",450.0,30.0,0.06666666666666668,37703,64480,1589,60623,816,166,671,32,24,559,64480,31698,32782,2836,3343,3424,3534,3553,7430,6963,9562,5117,5225,7908,3750,1835,46.4,867.245,0.075,63886,60663,46887,25852,3223,27553,1241,1298,2584,2641,3707,5239,3809,4527,1369,1138,59813,77328,33605,51303,42475,6.666666666666668,0.6978908188585607,58.47239454094293,74.35038541588594
"Washington County, New York",332.0,14.0,0.042168674698795185,33683,61828,1642,57178,1706,180,347,0,48,727,61828,32002,29826,2935,3561,3233,3496,3764,7291,7476,9338,5001,4445,6562,3524,1202,44.0,831.1669999999998,0.117,58820,55035,39673,25368,3785,24009,1161,1404,2482,2329,3691,4745,3372,3143,1087,595,54114,67967,27156,48394,38977,4.216867469879518,0.5369735394966682,54.47855340622372,74.38697638380737
"Wayne County, New York",448.0,3.0,0.006696428571428571,55940,90856,3878,81906,2594,117,594,78,44,1645,90856,44971,45885,4982,5304,5851,5575,5316,9861,10149,13716,7382,6617,9616,4475,2012,43.6,603.8290000000002,0.11,89965,85442,64583,34488,4523,36504,1638,1825,3140,4105,5302,7732,5085,5085,1589,1003,55765,70895,29028,49336,37298,0.6696428571428571,0.4930879633706084,61.56995685480321,150.46644000205353
"Westchester County, New York",40131.0,1471.0,0.03665495502230196,815163,968815,235243,523474,130640,1464,56806,182,4203,16803,968815,468898,499917,54910,58160,64049,65700,60038,110298,123911,143584,69516,59747,84519,48318,26065,40.8,430.568,0.067,956399,891687,713132,294884,64712,347332,16308,11298,23046,22133,29162,45739,34986,57254,34655,72751,92758,148770,54572,77599,61498,3.665495502230196,4.142276905291515,84.14021252767556,2250.0859330001304
"Wyoming County, New York",182.0,5.0,0.027472527472527472,24545,40565,1320,36471,1710,219,155,0,0,690,40565,21734,18831,2071,2176,2336,2320,2518,5519,4764,6132,3059,2916,4077,1938,739,41.9,592.75,0.1,37721,36145,27655,14615,1576,15815,726,747,1609,1457,2186,3451,2574,2258,530,277,57914,68774,27150,49035,38338,2.7472527472527473,0.448662640207075,60.507826944410205,68.43525938422607
"Yates County, New York",112.0,6.0,0.05357142857142857,12413,25009,549,23686,207,16,189,7,55,300,25009,11999,13010,1511,1479,1650,1831,1941,2590,2376,2993,1902,1861,2825,1512,538,41.3,338.1430000000001,0.113,24671,20029,14522,9081,4642,9029,495,421,1056,981,1307,1547,1214,1236,472,300,54343,72404,27512,44844,35713,5.357142857142857,0.4478387780399056,49.63413171258347,73.9598335615405
"Anderson County, Texas",2941.0,39.0,0.013260795647738865,30052,57863,10142,34312,12127,158,319,9,15,781,57863,35412,22451,2991,2985,3276,3040,3562,8821,9905,8259,3227,3598,4859,2481,859,39.1,1062.63,0.373,44353,38116,27169,16504,6237,16459,969,1221,2263,2150,2671,3246,1845,1432,422,240,43355,55852,16868,36865,26890,1.3260795647738866,5.082695332077494,51.9364706288993,54.45263167800645
"Andrews County, Texas",584.0,10.0,0.017123287671232876,2127,17818,9979,7215,321,0,63,21,0,219,17818,9102,8716,1551,1634,1449,1461,1113,2680,2193,2134,899,861,1043,563,237,31.2,1500.721,0.313,17725,14496,11313,4332,3229,5508,302,171,291,525,686,841,728,1214,398,352,74233,94962,31190,72970,35194,1.7123287671232876,3.277584465147604,11.93736670782355,11.872959730689448
"Angelina County, Texas",2277.0,90.0,0.03952569169960474,21193,87607,19174,53216,12834,107,987,5,163,1121,87607,42659,44948,6011,6477,6320,6025,5531,11212,10568,11220,5567,5049,7768,3918,1941,37.2,797.7819999999998,0.396,85457,69027,46576,31836,16430,30783,2572,1674,4093,3682,4071,5797,4013,3257,985,639,47714,61152,22322,41488,32622,3.9525691699604737,2.5991073772643736,24.19098930450763,109.81320711673116
"Aransas County, Texas",346.0,18.0,0.05202312138728324,3639,24763,6756,16691,365,14,488,0,33,416,24763,12026,12737,1207,1244,1379,1351,1446,2010,2483,3240,1820,2002,3829,2119,633,49.6,252.049,0.377,24388,19385,13508,10606,5003,9432,836,526,1162,1141,1409,1443,896,1047,476,496,44865,75471,30939,43182,32005,5.202312138728324,1.3972458910471268,14.695311553527441,98.24676947736353
"Archer County, Texas",137.0,1.0,0.007299270072992701,1082,8789,727,7772,76,27,47,0,0,140,8789,4326,4463,430,448,638,563,529,881,976,1282,656,692,908,589,197,44.5,903.289,0.28300000000000003,8723,7727,6429,2718,996,3332,125,199,289,393,345,550,462,626,198,145,64476,80073,31806,49105,37377,0.7299270072992702,1.5587666401183298,12.310843099328707,9.729997819081158
"Armstrong County, Texas",24.0,1.0,0.04166666666666666,324,1916,131,1737,7,29,0,0,0,12,1916,960,956,121,94,106,100,82,197,206,271,209,130,232,111,57,46.3,909.109,0.23,1853,1712,1378,585,141,708,16,37,38,60,67,195,94,128,52,21,66563,79808,31075,55250,40625,4.166666666666666,1.2526096033402923,16.910229645093946,2.107558059594614
"Atascosa County, Texas",1270.0,35.0,0.02755905511811024,13095,48828,31200,16541,124,29,152,0,12,770,48828,24398,24430,3584,3628,4029,3633,3038,6308,6070,5901,2874,2842,4094,2090,737,35.4,1219.5410000000004,0.4,48397,40732,30168,15883,7665,15387,1014,484,1771,1676,1941,3068,1887,2088,836,622,55265,73390,24421,46273,29942,2.755905511811024,2.6009666584746456,26.81862865568936,40.03801430210217
"Austin County, Texas",513.0,9.0,0.017543859649122806,7224,29565,7819,18525,2576,48,89,0,52,456,29565,14684,14881,1780,1960,2118,1861,1712,3339,3275,3821,2327,1978,3243,1532,619,40.7,646.492,0.32,29298,25749,20393,8863,3549,11041,482,459,1255,927,1186,1851,1651,2150,551,529,65365,80769,30858,55417,38603,1.7543859649122806,1.7351598173515983,24.43429731100964,45.731424364106594
"Bailey County, Texas",280.0,5.0,0.017857142857142856,1411,7092,4558,2346,46,72,70,0,0,0,7092,3640,3452,491,655,408,550,581,940,926,715,366,460,494,416,90,33.5,826.972,0.263,6895,5474,3638,2624,1421,2111,119,109,174,393,381,322,251,201,110,51,46485,62434,21449,40411,28184,1.7857142857142856,3.948110547095319,19.895657078398195,8.575864720933719
"Bandera County, Texas",185.0,8.0,0.04324324324324325,3056,21763,4010,17032,172,88,59,0,17,385,21763,11032,10731,864,880,1252,1033,1056,1924,2087,2925,1873,2236,3472,1713,448,52.1,790.995,0.29100000000000004,21584,17769,13852,8464,3815,8242,436,453,810,670,1382,1670,1022,1073,337,389,53683,70305,28539,47575,37390,4.3243243243243255,0.8500666268437256,14.042181684510407,27.513448251885283
"Bastrop County, Texas",1991.0,31.0,0.0155700652938222,17306,82577,30389,43757,6097,358,704,0,434,838,82577,42014,40563,5457,5301,6600,5916,4875,9376,10342,11192,5920,5873,7595,2948,1182,38.6,888.178,0.413,80461,67320,52501,25824,13141,25345,1363,986,2046,2380,3185,4692,3442,4312,1942,997,62941,78710,26540,46446,37013,1.55700652938222,2.4110829892100707,20.957409448151424,92.97348054106271
"Baylor County, Texas",43.0,2.0,0.04651162790697674,607,3591,370,3050,112,0,0,0,0,59,3591,1752,1839,178,264,208,176,236,272,354,467,348,216,438,335,99,47.3,867.4810000000001,0.27,3517,3058,2385,1282,459,1474,78,144,156,249,221,177,202,161,25,61,40750,60098,25264,41719,34821,4.651162790697674,1.1974380395433026,16.90336953494848,4.139571932987581
"Bee County, Texas",1846.0,39.0,0.02112676056338028,21208,32691,19152,10392,2535,186,141,4,13,268,32691,19911,12780,1924,1870,1998,1938,2720,5676,4790,4387,2031,1478,2223,1157,499,35.4,880.2389999999998,0.337,25061,20059,13592,9245,5002,8537,1002,575,1104,924,1411,1469,668,827,286,271,42032,60273,17390,46326,28808,2.112676056338028,5.6468141078584315,64.87412437673977,37.13877708213338
"Bell County, Texas",6327.0,100.0,0.0158052789631737,101458,342236,83630,158804,72677,1066,9767,2156,286,13850,342236,170918,171318,29639,26525,24832,23615,30780,58312,43827,37066,17650,14791,21108,9933,4158,30.8,1051.289,0.326,321558,283732,225691,101779,37826,120241,7726,4839,11280,12748,18108,25214,16573,15605,4389,3759,54184,69605,25911,42257,35690,1.58052789631737,1.8487242721396928,29.645624656669668,325.53940923951455
"Bexar County, Texas",52335.0,1394.0,0.026636094391898343,552489,1925865,1155505,539435,136411,2863,52513,1589,2655,34894,1925865,950030,975835,138622,138871,139171,139336,145695,305358,258061,234677,108990,93279,132567,65095,26143,33.4,1240.215,0.297,1895810,1608911,1205586,592223,286899,632574,45419,29186,62202,63892,84130,118346,79146,87038,31270,31945,55456,76006,26988,43005,37258,2.6636094391898344,2.717480197210085,28.68783637482378,1552.8476917308694
"Blanco County, Texas",159.0,6.0,0.03773584905660377,2142,11279,2173,8712,2,0,165,39,0,188,11279,5781,5498,461,572,605,685,493,854,1266,1565,1075,1006,1706,779,212,49.9,709.25,0.226,11176,9163,7531,3669,2013,4297,167,151,401,353,657,851,465,699,268,285,63071,85285,34925,47961,34068,3.7735849056603774,1.4096994414398438,18.991045305434877,15.902714134649278
"Borden County, Texas",2.0,0.0,0.0,30,665,56,595,0,0,0,0,0,14,665,346,319,90,17,30,42,23,90,61,58,43,38,105,49,19,42.5,897.443,0.245,665,634,526,226,31,261,7,10,10,16,25,49,45,80,10,9,81985,85046,33781,54375,41094,0.0,0.30075187969924816,4.511278195488721,0.7409941355606986
"Bosque County, Texas",405.0,11.0,0.02716049382716049,5432,18122,3263,14167,280,59,92,0,0,261,18122,8935,9187,970,929,1294,1065,875,1725,1833,2292,1430,1281,2525,1377,526,46.7,982.981,0.263,17776,14594,10791,6652,3182,7088,326,336,858,802,1144,1428,883,879,223,209,50882,65377,26039,42188,35702,2.716049382716049,2.2348526652687344,29.97461648824633,18.435758168265714
"Bowie County, Texas",1765.0,73.0,0.041359773371104816,35251,93858,7098,60017,22765,822,997,17,49,2093,93858,47275,46583,6060,6076,6476,5542,6215,12531,12537,11786,6160,5483,8611,4656,1725,38.1,885.002,0.456,88388,75530,54941,31804,12858,33731,3254,2119,3718,3703,4815,5944,3927,3732,1289,1230,47505,67304,25355,46748,31783,4.135977337110481,1.8805003302861771,37.55780008097339,106.05399761808448
"Brazoria County, Texas",12191.0,182.0,0.014929046017553934,140041,353999,106731,170322,47228,1013,22670,21,595,5419,353999,179060,174939,25013,27824,25997,23891,21058,49737,51803,47776,22350,18570,24779,11542,3659,35.6,1362.305,0.317,342641,296664,249624,74395,45977,118762,5192,4020,7424,8635,11253,20118,17046,23348,11298,10428,79270,97877,33547,63626,47711,1.4929046017553933,3.4437950389690366,39.55971627038494,259.8529697828313
"Brazos County, Texas",7430.0,67.0,0.00901749663526245,79170,219193,55519,122867,22279,211,13706,46,296,4269,219193,111074,108119,13546,11996,12633,21795,43936,35033,23625,19887,9539,8296,11177,5609,2121,26.2,585.513,0.312,214943,186806,160590,43733,28137,79053,9557,4364,8937,8310,10293,11863,8810,9410,3522,3987,46839,70257,26539,45944,36787,0.901749663526245,3.3897067880817358,36.1188541604887,374.36060343664445
"Brewster County, Texas",246.0,5.0,0.02032520325203252,3445,9216,4099,4722,21,168,111,0,16,79,9216,4558,4658,487,507,529,418,543,1160,1223,1020,628,714,1215,619,153,43.3,6183.762,0.262,9131,7595,6095,2889,1536,3942,411,196,427,406,900,452,436,436,180,98,43894,60719,27227,43527,35940,2.0325203252032518,2.669270833333333,37.38064236111111,1.4903549004635044
"Briscoe County, Texas",22.0,1.0,0.045454545454545456,300,1546,545,885,38,0,0,17,0,61,1546,831,715,82,67,74,93,134,150,149,215,118,100,182,149,33,46.3,900.0010000000002,0.267,1546,1208,938,539,338,632,47,18,118,79,90,115,69,53,28,15,42647,58155,24286,37852,35139,4.545454545454546,1.423027166882277,19.404915912031047,1.7177758691379228
"Brooks County, Texas",347.0,23.0,0.06628242074927954,5965,7180,6741,400,4,0,0,0,0,35,7180,3724,3456,501,494,503,561,978,831,801,747,302,349,649,412,52,32.7,943.355,0.35,6638,5185,2656,3129,1453,2052,392,104,393,318,205,305,136,181,9,9,27378,41408,13800,29219,22227,6.628242074927954,4.832869080779945,83.07799442896936,7.611132606494904
"Brown County, Texas",661.0,28.0,0.04236006051437216,6999,37834,8299,27253,1340,140,281,0,0,521,37834,18774,19060,2053,2158,2724,2768,2409,4417,4208,4717,2801,2343,4129,2309,798,41.3,944.452,0.371,36773,31720,23282,13893,5053,14016,1033,705,1708,2015,2068,2654,1500,1532,368,433,45457,64580,25145,41504,31092,4.236006051437216,1.7471057778717558,18.499233493682933,40.0592089380932
"Burleson County, Texas",457.0,6.0,0.01312910284463895,4754,17863,3657,11617,2240,52,40,0,8,249,17863,8977,8886,1092,1152,1009,1174,1040,1986,2000,2102,1281,1399,2103,1120,405,42.6,659.034,0.462,17692,14742,11094,6344,2950,6754,438,347,618,557,965,1400,990,925,308,206,56235,72427,28732,49075,38347,1.312910284463895,2.5583608576386947,26.61367071600515,27.10482311989973
"Burnet County, Texas",888.0,15.0,0.01689189189189189,11904,45750,10120,33745,831,292,383,0,0,379,45750,22642,23108,2423,2502,3042,2908,2760,4428,5283,5471,3465,3529,5930,3054,955,44.2,994.265,0.336,45246,38384,29864,16358,6862,16849,581,692,1847,1679,2231,3469,2362,2399,658,931,59238,79066,30507,46182,36201,1.689189189189189,1.9409836065573771,26.01967213114754,46.01388965718395
"Caldwell County, Texas",1689.0,37.0,0.021906453522794557,9484,41401,21312,16686,2425,136,401,26,0,415,41401,20893,20508,2577,2943,2606,3361,3419,5517,5119,5109,2834,2354,3347,1490,725,35.4,545.234,0.39,39420,31017,21963,12887,8403,13225,1002,611,1210,1415,2010,2634,1766,1631,529,417,52278,69537,23881,39793,33974,2.190645352279456,4.079611603584454,22.90765923528417,75.9325353884754
"Calhoun County, Texas",928.0,9.0,0.009698275862068966,6492,21807,10564,9314,528,3,998,17,0,383,21807,11062,10745,1488,1533,1503,1580,1228,2795,2530,2732,1646,1103,2076,1041,552,37.7,506.839,0.32,21584,17492,12854,6878,4092,7604,561,280,677,812,1111,1472,883,1204,453,151,55469,70543,26596,47057,29847,0.9698275862068966,4.25551428440409,29.770257256844136,43.025497248633194
"Callahan County, Texas",123.0,4.0,0.032520325203252036,2028,13770,1300,11900,66,11,39,0,0,454,13770,6763,7007,733,799,1118,848,635,1520,1474,1825,1035,1032,1565,927,259,42.9,899.372,0.387,13684,11151,8738,4562,2533,5319,654,259,648,577,726,1029,609,458,251,108,44602,59335,24537,41783,30405,3.2520325203252036,0.8932461873638344,14.727668845315906,15.310683454677264
"Cameron County, Texas",23976.0,974.0,0.040623957290623965,123787,421750,377439,38334,1673,543,2786,38,272,665,421750,204788,216962,35652,35812,36879,36264,31611,51385,52290,47020,21969,18687,30250,17532,6399,31.5,891.049,0.312,419590,299693,159381,161742,119897,123185,15581,10253,18048,15287,16034,19950,11427,10744,3505,2356,37132,53211,16587,32335,27248,4.062395729062397,5.684884410195614,29.35080023710729,473.31852681502363
"Camp County, Texas",391.0,13.0,0.03324808184143223,1919,12813,3159,7176,2122,52,44,0,0,260,12813,6220,6593,953,961,909,853,792,1400,1318,1696,835,795,1335,708,258,38.7,195.847,0.218,12760,10639,7583,4746,2121,4692,449,259,514,692,686,862,632,404,158,36,42604,56091,20898,41320,30332,3.324808184143223,3.0515882307031923,14.976976508233825,65.42351937992412
"Carson County, Texas",53.0,0.0,0.0,895,6032,600,5186,78,79,31,0,0,58,6032,2820,3212,365,435,455,465,280,704,706,739,431,395,596,336,125,40.3,920.235,0.269,6003,5319,4596,1437,684,2247,84,64,234,189,223,432,323,419,116,163,70087,84978,32917,55800,40615,0.0,0.8786472148541113,14.837533156498676,6.5548474031089885
"Cass County, Texas",496.0,23.0,0.046370967741935484,6761,30087,1335,22983,5177,10,110,1,6,465,30087,14692,15395,1482,1958,2162,1926,1420,3156,3314,3927,2148,2120,3653,2048,773,43.4,936.957,0.449,29691,25112,17684,11986,4579,11789,1060,695,1466,1522,1829,2075,1316,1298,295,233,45345,56515,22545,41784,29961,4.637096774193548,1.6485525309934523,22.471499318642604,32.11139892225577
"Castro County, Texas",301.0,7.0,0.02325581395348837,2329,7787,5003,2523,70,11,92,1,4,83,7787,3905,3882,604,765,574,595,532,785,963,856,477,485,678,324,149,35.3,894.444,0.285,7696,5687,3649,2893,2009,2532,148,133,247,356,499,478,306,197,116,52,45000,59313,20915,37044,35971,2.325581395348837,3.86541672017465,29.908822396301527,8.70596705886562
"Chambers County, Texas",1545.0,10.0,0.0064724919093851144,4221,40292,8793,27186,3158,85,506,0,0,564,40292,20377,19915,2794,3250,3140,3022,2524,5286,5489,5660,2550,2169,2831,1201,376,35.4,597.153,0.327,40076,34357,28005,9562,5719,13529,728,679,985,1064,1562,1600,1538,2461,1585,1327,76850,98290,34372,75949,40444,0.6472491909385114,3.8345080909361657,10.476025017373177,67.47349506742827
"Cherokee County, Texas",1626.0,36.0,0.022140221402214017,10804,51903,11855,31641,7008,270,180,43,0,906,51903,26607,25296,3651,3897,3435,3731,3369,6056,6130,6506,2926,3427,5071,2665,1039,37.8,1052.955,0.442,49308,40034,27340,19786,9274,17940,1188,1153,2366,2010,2934,3537,1808,1722,829,393,46044,60376,21520,40581,33459,2.2140221402214015,3.1327668920871625,20.81575246132208,49.29270481644515
"Childress County, Texas",120.0,0.0,0.0,1843,7226,2241,4172,552,69,96,0,0,96,7226,4449,2777,345,384,409,394,736,1813,878,601,316,395,436,383,136,30.9,696.5110000000002,0.237,5805,4810,3865,1841,995,2235,236,80,259,361,334,428,167,216,117,37,40794,58832,20234,47958,30625,0.0,1.6606698034874066,25.505120398560756,10.374566948691403
"Clay County, Texas",107.0,2.0,0.018691588785046728,1272,10387,616,9356,59,114,60,0,0,182,10387,5195,5192,464,607,675,606,541,984,1154,1342,800,903,1340,721,250,46.2,1088.758,0.334,10321,8885,6666,3970,1436,4045,208,219,472,479,594,729,510,520,166,148,51191,68492,27678,54855,32134,1.8691588785046727,1.030133821122557,12.246076826802735,9.540228407047296
"Cochran County, Texas",99.0,1.0,0.010101010101010102,430,2904,1684,1068,96,0,0,0,0,56,2904,1491,1413,215,247,208,242,124,447,346,277,205,153,222,188,30,34.5,775.082,0.275,2879,2073,1268,1018,806,996,90,112,126,97,141,152,101,117,49,11,42798,57710,21014,40234,32976,1.0101010101010102,3.4090909090909087,14.807162534435262,3.746700349124351
"Coke County, Texas",109.0,5.0,0.045871559633027525,948,3275,698,2475,20,44,6,0,0,32,3275,1606,1669,103,125,279,209,92,212,426,465,255,217,492,304,96,50.3,911.635,0.279,3177,2765,2109,1208,412,1617,127,94,228,192,297,276,206,163,22,12,45551,53056,24768,47044,30402,4.587155963302752,3.3282442748091605,28.946564885496183,3.5924465383623927
"Coleman County, Texas",88.0,4.0,0.045454545454545456,1185,8391,1465,6463,254,39,79,0,0,91,8391,4220,4171,504,539,517,385,305,989,822,985,718,617,1120,748,142,46.5,1262.914,0.222,8358,6437,4525,3383,1921,3460,312,145,501,366,697,642,313,238,70,176,43981,64448,27842,41204,29188,4.545454545454546,1.0487427005124539,14.122273864855202,6.64415787614992
"Collin County, Texas",17611.0,175.0,0.009936971211174834,305891,944350,143369,547403,88702,3132,135508,582,2691,22963,944350,464248,480102,59858,69836,76360,67986,53580,120753,151930,143663,56656,45688,62711,26801,8528,36.6,841.2760000000002,0.251,941564,843739,757027,153370,97825,331336,10888,5742,14782,18352,30711,51452,42804,69454,39903,47248,94192,120691,43439,76606,53878,0.9936971211174834,1.8648806057076295,32.39169799332874,1122.521027581911
"Collingsworth County, Texas",21.0,0.0,0.0,563,2996,834,1878,195,68,0,0,0,21,2996,1496,1500,185,191,245,171,201,321,383,351,233,173,313,124,105,39.2,918.441,0.261,2929,2266,1320,1222,663,1055,83,42,152,194,135,199,147,50,27,26,42750,60536,22880,34964,26613,0.0,0.7009345794392523,18.791722296395193,3.2620494947416327
"Colorado County, Texas",499.0,4.0,0.008016032064128256,6213,21022,6200,11855,2655,27,7,0,0,278,21022,10538,10484,1363,1288,1493,1397,1145,2054,2233,2440,1280,1866,2467,1356,640,42.5,960.284,0.247,20703,17886,13815,6868,2817,7511,386,381,894,891,1244,1345,935,678,428,329,49504,70324,27861,41853,34692,0.8016032064128256,2.373703738940158,29.5547521643992,21.89144044886721
"Comal County, Texas",2841.0,106.0,0.03731080605420626,36641,135097,36612,91969,2544,97,1403,45,140,2287,135097,66793,68304,7855,8111,9355,8623,7284,14986,16199,18761,9448,10508,14757,6482,2728,42.0,559.512,0.295,133918,117455,98182,38832,16463,48903,2017,1437,2986,3659,5974,8230,7418,8321,3838,5023,75356,98131,36899,55209,43405,3.731080605420626,2.1029334478189745,27.12199382665788,241.45505368964385
"Comanche County, Texas",354.0,5.0,0.014124293785310734,3159,13495,3729,9438,87,54,74,0,1,112,13495,6738,6757,762,809,900,1012,572,1278,1438,1646,837,980,1826,1088,347,44.8,937.753,0.249,13292,10885,7999,5122,2407,5260,397,334,608,532,893,999,638,681,91,87,47893,60948,25127,41545,30548,1.4124293785310735,2.623193775472397,23.408669877732493,14.39078307400776
"Concho County, Texas",142.0,2.0,0.014084507042253518,846,4233,2372,1706,89,6,48,0,0,12,4233,2802,1431,121,188,133,575,226,502,588,643,261,241,428,225,102,41.9,983.755,0.196,3068,2544,1957,1028,524,873,66,67,128,116,93,175,63,126,13,26,43355,61808,17684,33772,20735,1.4084507042253518,3.354594849988188,19.98582565556343,4.302900620581344
