county_state,total_cases,total_fatalities,death_rate,total_tests,sex_age_median_age_in_years,health_ins_noninst_pop_private,health_ins_noninst_pop_public,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density,obes_percent,percent_race_pop_hispanic_or_latino_of_any_race,percent_race_pop_white_alone,percent_race_pop_black_or_african_american_alone,percent_race_pop_american_indian_and_alaska_native_alone,percent_race_pop_asian_alone,percent_race_pop_native_hawaiian_and_other_pacific_islander_alone,percent_race_pop_some_other_race_alone,percent_race_pop_two_or_more_races,percent_sex_age_pop_male,percent_sex_age_pop_female,percent_sex_age_pop_under_5,percent_sex_age_pop_5_to_9,percent_sex_age_pop_10_to_14,percent_sex_age_pop_15_to_19,percent_sex_age_pop_20_to_24,percent_sex_age_pop_25_to_34,percent_sex_age_pop_35_to_44,percent_sex_age_pop_45_to_54,percent_sex_age_pop_55_to_59,percent_sex_age_pop_60_to_64,percent_sex_age_pop_65_to_74,percent_sex_age_pop_75_to_84,percent_sex_age_pop_85_and_over,percent_health_ins_noninst_pop_cov_yes,percent_health_ins_noninst_pop_cov_no,percent_inc_hhlds_less_than_10_000,percent_inc_hhlds_10_000_to_14_999,percent_inc_hhlds_15_000_to_24_999,percent_inc_hhlds_25_000_to_34_999,percent_inc_hhlds_35_000_to_49_999,percent_inc_hhlds_50_000_to_74_999,percent_inc_hhlds_75_000_to_99_999,percent_inc_hhlds_100_000_to_149_999,percent_inc_hhlds_150_000_to_199_999,percent_inc_hhlds_200_000_or_more
"Red River County, Texas",196.0,17.0,0.08673469387755102,2008,45.6,7083,5109,37955,50123,21666,40186,29032,8.673469387755102,1.5967413441955194,16.358452138492872,11.759059505151953,0.399,0.07348268839103869,0.7317311608961303,0.1694501018329939,0.0022810590631364563,0.0004887983706720978,0.0,0.0,0.022566191446028512,0.4876578411405295,0.5123421588594704,0.04219959266802444,0.044562118126272914,0.07421588594704684,0.06663951120162932,0.05515274949083503,0.09556008146639511,0.1160081466395112,0.12,0.08407331975560081,0.06509164969450101,0.13580448065173117,0.07470468431771894,0.025987780040733197,0.8547652562722531,0.14523474372774695,0.10340729001584786,0.08399366085578447,0.13074484944532488,0.14362123613312203,0.13708399366085577,0.18700475435816163,0.10400158478605388,0.08795562599049128,0.012876386687797147,0.009310618066561015
"Reeves County, Texas",258.0,7.0,0.027131782945736437,2212,35.6,7621,3585,58384,67979,20876,49160,35789,2.713178294573644,1.7057851239669422,14.624793388429753,5.739266906836803,0.293,0.7505454545454545,0.20608264462809917,0.02062809917355372,0.0,0.015074380165289256,0.000859504132231405,0.002512396694214876,0.004297520661157025,0.5744793388429752,0.4255206611570248,0.06333884297520662,0.05725619834710744,0.06644628099173554,0.07180165289256199,0.07517355371900826,0.1501487603305785,0.16231404958677687,0.12819834710743802,0.05725619834710744,0.04747107438016529,0.06565289256198348,0.037421487603305784,0.017520661157024792,0.7954352030947776,0.20456479690522245,0.09911123081066522,0.044707783463506595,0.08860759493670886,0.09237813089146243,0.12119579854565042,0.2081874495017506,0.1656342580123889,0.11742526259089685,0.03932130352814436,0.023431187718825748
"Refugio County, Texas",308.0,16.0,0.05194805194805195,2472,41.9,4239,2855,48112,59434,23810,41603,33363,5.194805194805195,4.25649530127142,34.16252072968491,9.391499369227656,0.211,0.5017965726920951,0.41846323935876173,0.055279159756771695,0.0006909894969596462,0.0019347705914870095,0.0,0.0,0.02183526810392482,0.4955776672194583,0.5044223327805417,0.06495301271420674,0.06053067993366501,0.06923714759535655,0.07863460475400774,0.049474847982310666,0.10406301824212272,0.10378662244333886,0.12285793255942509,0.07241569928137093,0.05983969043670536,0.12078496406854616,0.06398562741846324,0.02943615257048093,0.8413012729844414,0.1586987270155587,0.07334109429569266,0.09507178890182383,0.09856422196352348,0.11602638727202173,0.1307722157547536,0.23127667830811022,0.09701202949165696,0.11292200232828871,0.027939464493597205,0.017074117190531625
"Roberts County, Texas",14.0,0.0,0.0,66,38.0,691,278,73854,88939,31632,73750,31250,0.0,1.5819209039548021,7.457627118644068,0.9577320904099094,0.218,0.13898305084745763,0.8203389830508474,0.0,0.0,0.00903954802259887,0.0,0.0,0.031638418079096044,0.45310734463276836,0.5468926553672316,0.03615819209039548,0.05649717514124294,0.12316384180790961,0.11186440677966102,0.031638418079096044,0.09378531073446328,0.10056497175141244,0.10734463276836158,0.062146892655367235,0.05084745762711865,0.11186440677966102,0.09378531073446328,0.020338983050847456,0.9175141242937853,0.08248587570621468,0.028938906752411574,0.00964630225080386,0.08360128617363344,0.08038585209003216,0.12218649517684887,0.19292604501607716,0.12861736334405144,0.17363344051446947,0.1414790996784566,0.03858520900321544
"Robertson County, Texas",417.0,4.0,0.009592326139088728,5317,40.9,10378,5937,54201,67074,25465,50608,28707,0.9592326139088728,2.4689165186500888,31.480165778567198,19.751890989208377,0.416,0.20609828300769686,0.5759621077560687,0.19396092362344583,0.0020722320899940793,0.002901124925991711,0.0013025458851391356,0.0006512729425695678,0.01705150976909414,0.4911782119597395,0.5088217880402605,0.05796329188869153,0.0689757252812315,0.07317939609236235,0.061101243339254,0.06376554174067496,0.10373001776198934,0.1098875074008289,0.13611604499703966,0.06613380698638248,0.06968620485494376,0.11314387211367673,0.05115452930728242,0.02516281823564239,0.8503413582464966,0.1496586417535034,0.07659641396665619,0.05614973262032086,0.10176156023906889,0.10915382195659012,0.1360490720352312,0.18307643913180247,0.13715004718464927,0.14705882352941177,0.025636992765020447,0.02736709657124882
"Rockwall County, Texas",1896.0,32.0,0.016877637130801686,22831,37.6,73615,17178,94767,114436,39295,70422,50851,1.6877637130801686,2.024732491830589,24.381153755793342,736.7004956337031,0.305,0.17306336900108926,0.7159821447641016,0.060549753315819826,0.00239208901988424,0.024561628329168535,0.0,0.000608701223809829,0.022842314346126737,0.4930159543794451,0.5069840456205549,0.062215672454667775,0.07471006599602742,0.08580551461950835,0.07728369748617074,0.053031759253326496,0.11404070822921339,0.1515345678221311,0.14329040387860148,0.06914632323102882,0.05050084363853826,0.07291599923111425,0.03301937164947353,0.012505072510198416,0.8875468285751195,0.11245317142488051,0.023981800372839583,0.021833233277512718,0.04436159120351354,0.054219722582072104,0.09674871243957155,0.14853549875193528,0.1347909886568296,0.2311921387721571,0.12082530253720497,0.12351101140636354
"Runnels County, Texas",296.0,9.0,0.030405405405405407,2974,40.8,6330,3766,41732,58250,23042,40562,30662,3.040540540540541,2.870999030067895,28.84578079534433,9.809051728238844,0.193,0.3389912706110572,0.6176527643064985,0.030746847720659554,0.0015518913676042677,0.0024248302618816685,0.0,0.0005819592628516004,0.008050436469447139,0.5075654704170708,0.4924345295829292,0.05557710960232784,0.06120271580989331,0.07623666343355966,0.06517943743937925,0.06595538312318137,0.10155189136760427,0.11241513094083413,0.11968962172647915,0.06411251212415131,0.07177497575169738,0.10979631425800195,0.06789524733268672,0.028612997090203686,0.8436540176359854,0.15634598236401467,0.08082155241397707,0.0461456388370232,0.1467057882101894,0.1395038676980528,0.16964523873032808,0.16057615364097091,0.08535609495865565,0.11256335022672713,0.03814350493464924,0.020538810349426513
"Rusk County, Texas",992.0,21.0,0.021169354838709683,9435,38.5,28715,16142,52329,68838,24842,52884,34028,2.1169354838709684,1.8509189290045711,17.604254128183598,58.00092420541601,0.408,0.16522063625338185,0.6404328762011382,0.17037037037037037,0.0014553596417576267,0.00561619554062879,0.0004104860528034332,0.0005784121653139285,0.01591566377460584,0.5295083496594831,0.4704916503405168,0.05909133314674876,0.06912958298348726,0.06142364026495009,0.06705849426252448,0.060882545013527384,0.1327549211680194,0.1304785894206549,0.12984420188450416,0.06985726280436608,0.058830114749510214,0.09094131915290606,0.05200111950741674,0.017706875641384456,0.8074634826850484,0.19253651731495158,0.06648106904231625,0.051002227171492207,0.10985523385300668,0.10061247216035635,0.15306236080178173,0.183630289532294,0.12639198218262807,0.12594654788418708,0.04838530066815145,0.03463251670378619
"Sabine County, Texas",92.0,9.0,0.09782608695652174,2390,52.7,5914,5390,33257,54131,23450,54908,28319,9.782608695652174,0.8797093134442533,22.853318034040925,21.268936736200512,0.279,0.04350736278447122,0.8573340982979537,0.062153375406387455,9.562057754828839e-05,0.0,0.0019124115509657677,0.005067890610059285,0.029929240772614267,0.4849875693249187,0.5150124306750813,0.043029259896729774,0.05316504111684835,0.05345190284949321,0.054408108624976095,0.03155479059093517,0.09351692484222604,0.0824249378466246,0.1136928667049149,0.1004972270032511,0.07190667431631287,0.1746987951807229,0.09323006310958118,0.03442340791738382,0.8539054966248795,0.14609450337512053,0.10270797755550135,0.06928519151012442,0.19785313491095388,0.1590631861429617,0.10148816784581605,0.15296413759453525,0.08929007074896317,0.06611368626494267,0.03415467187118809,0.027079775555013418
"San Augustine County, Texas",214.0,15.0,0.07009345794392523,1849,49.4,4467,3804,35509,55145,23261,44167,35992,7.009345794392523,2.569953164404948,22.204875705536207,15.69186875891584,0.36,0.07001321003963012,0.6894439774228414,0.21136063408190225,0.013330130899483608,0.0,0.0,0.0,0.015852047556142668,0.4905728353548697,0.5094271646451303,0.04731596012969857,0.04371322204875706,0.07025339257835955,0.07229494415755974,0.030983547496097035,0.09787438453224451,0.08574516632640806,0.13858532484688363,0.08574516632640806,0.07121412273327729,0.14771226131860213,0.08130178935991353,0.0272607181457908,0.8460588089943167,0.1539411910056832,0.14898688915375446,0.056615017878426696,0.17550655542312277,0.11233611442193087,0.132896305125149,0.15584028605482717,0.11084624553039332,0.06495828367103695,0.026519666269368296,0.015494636471990465
