county_state,sex_age_median_age_in_years,health_ins_noninst_pop_private,health_ins_noninst_pop_public,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,pop_density,percent_race_pop_hispanic_or_latino_of_any_race,percent_race_pop_white_alone,percent_race_pop_black_or_african_american_alone,percent_race_pop_american_indian_and_alaska_native_alone,percent_race_pop_asian_alone,percent_race_pop_native_hawaiian_and_other_pacific_islander_alone,percent_race_pop_some_other_race_alone,percent_race_pop_two_or_more_races,percent_sex_age_pop_male,percent_sex_age_pop_female,percent_sex_age_pop_under_5,percent_sex_age_pop_5_to_9,percent_sex_age_pop_10_to_14,percent_sex_age_pop_15_to_19,percent_sex_age_pop_20_to_24,percent_sex_age_pop_25_to_34,percent_sex_age_pop_35_to_44,percent_sex_age_pop_45_to_54,percent_sex_age_pop_55_to_59,percent_sex_age_pop_60_to_64,percent_sex_age_pop_65_to_74,percent_sex_age_pop_75_to_84,percent_sex_age_pop_85_and_over,percent_health_ins_noninst_pop_cov_yes,percent_health_ins_noninst_pop_cov_no,percent_inc_hhlds_less_than_10_000,percent_inc_hhlds_10_000_to_14_999,percent_inc_hhlds_15_000_to_24_999,percent_inc_hhlds_25_000_to_34_999,percent_inc_hhlds_35_000_to_49_999,percent_inc_hhlds_50_000_to_74_999,percent_inc_hhlds_75_000_to_99_999,percent_inc_hhlds_100_000_to_149_999,percent_inc_hhlds_150_000_to_199_999,percent_inc_hhlds_200_000_or_more
"Willacy County, Texas",33.6,6599,9056,29944,45647,14207,19472,33306,25991,36.834289719958484,0.8812172474027765,0.11087616070607705,0.005929943918359842,9.193711501333089e-05,0.0,0.0,0.0,0.0018847108577732831,0.5369587202353591,0.463041279764641,0.0642640433943183,0.06389629493426496,0.07451503171830468,0.07970947871655787,0.0924427691459042,0.14985749747172933,0.1387331065551163,0.10416475131010389,0.04725567711685207,0.05157672152247862,0.07410131470074469,0.045095154914038794,0.014388158499586284,0.7186728547447417,0.2813271452552582,0.16729776247848538,0.11652323580034424,0.15352839931153184,0.10464716006884682,0.13132530120481928,0.140447504302926,0.08777969018932874,0.06523235800344233,0.021858864027538727,0.011359724612736662
"Crosby County, Texas",38.1,2780,2446,37899,50926,19155,23740,35793,26250,6.51078261584383,0.5563896945913667,0.3975430813854291,0.035830063129158846,0.0,0.0023886708752772563,0.0,0.0005118580447022692,0.007336631974065859,0.49837911619177616,0.5016208838082239,0.0682477392936359,0.06705340385599727,0.09111073195700392,0.07746118409827675,0.05579252687254735,0.10970824091451971,0.12369902746971506,0.09895922197577205,0.06671216515952909,0.06074048797133595,0.09554683501109026,0.06381163623954957,0.021156799181027128,0.7961937716262976,0.2038062283737024,0.10665362035225048,0.07387475538160469,0.14090019569471623,0.14285714285714285,0.17759295499021527,0.15851272015655576,0.10273972602739725,0.06262230919765166,0.014677103718199608,0.019569471624266144
"Fisher County, Texas",44.4,2514,1406,46827,64120,28355,30858,45313,33750,4.319479037233397,0.305176409992274,0.6417718259078032,0.02935874323976307,0.0,0.005923255215039918,0.0012876641771825909,0.0,0.016482101467937164,0.4839041977852176,0.5160958022147824,0.06747360288436775,0.04712850888488282,0.05305176409992274,0.06592840587174865,0.06644347154262169,0.10121040432655164,0.11099665207313933,0.11717744012361576,0.06927633273242338,0.07159412825135204,0.12567602369302086,0.08138037599793974,0.0226628895184136,0.8463730569948187,0.15362694300518134,0.08004851425106124,0.08247422680412371,0.08732565191024863,0.13887204366282596,0.15524560339599758,0.17707701637355974,0.09338993329290479,0.14675560946027896,0.02001212856276531,0.01879927228623408
"Duval County, Texas",36.1,4568,5071,37382,50374,17864,22225,43637,24217,6.33127717835244,0.8925583443416997,0.09053280493174813,0.016820783795684722,0.0,0.0,0.0,8.806693086745927e-05,0.0,0.5070893879348305,0.4929106120651695,0.07159841479524438,0.06243945398502862,0.08947600176133862,0.055746367239101716,0.08190224570673713,0.12619991193306912,0.11422280933509467,0.11254953764861295,0.07952443857331572,0.028005284015852047,0.09696169088507266,0.06243945398502862,0.01893439013650374,0.7553426676492262,0.24465733235077378,0.1219025918541726,0.0851609228140131,0.16063799487325547,0.10652235830247793,0.14183993164340644,0.17829678154371975,0.09313585872970663,0.06408430646539448,0.023924807747080605,0.024494446026773
"Blanco County, Texas",49.9,7531,3669,63071,85285,34925,29346,47961,34068,15.902714134649278,0.19265892366344534,0.7724089014983598,0.000177320684457842,0.0,0.014628956467771966,0.003457753346927919,0.0,0.01666814433903715,0.5125454384253924,0.4874545615746077,0.04087241776753258,0.050713715754942816,0.05363950704849721,0.060732334426810884,0.04370954871885806,0.07571593226349854,0.11224399326181399,0.13875343558826136,0.09530986789609008,0.08919230428229454,0.15125454384253922,0.06906640659632947,0.018795992552531254,0.8198818897637795,0.18011811023622049,0.03886432394693973,0.03514079590411915,0.0933209215731906,0.08215033744472888,0.15289737025831976,0.1980451477775192,0.10821503374447289,0.16267163137072377,0.06236909471724459,0.06632534326274145
"Jasper County, Texas",40.9,19829,13936,46088,64734,25004,31429,57370,30417,37.82433375414822,0.06647138350608382,0.7455779630464173,0.16429134745380802,0.0017462821090581343,0.004422036953582695,0.0007323118521856692,0.00273208652546192,0.014026588553402433,0.4929303740423614,0.5070696259576386,0.05968341595313204,0.06683753943217666,0.07458314556106355,0.06303515096890491,0.06137336638125282,0.10624155024785939,0.11153672825597116,0.13012618296529968,0.07323118521856692,0.06379562866155926,0.11255069851284362,0.05258562415502479,0.0244197836863452,0.8326249747014774,0.16737502529852258,0.061670507828021935,0.07009457204164349,0.14448064849399983,0.11881109433362473,0.1344671382023365,0.1641103075578161,0.12588412938091076,0.12294365413653342,0.02662322180720019,0.030914726217913056
"Kinney County, Texas",41.7,1772,1586,31468,49372,20323,30444,41530,35125,2.7020966063872414,0.6250340136054422,0.3741496598639456,0.0008163265306122449,0.0,0.0,0.0,0.0,0.0,0.6231292517006802,0.3768707482993197,0.0236734693877551,0.041360544217687076,0.07700680272108844,0.05170068027210884,0.05877551020408163,0.15755102040816327,0.10639455782312925,0.13659863945578232,0.09414965986394558,0.048435374149659864,0.1363265306122449,0.033197278911564626,0.034829931972789115,0.8537584088914887,0.14624159110851126,0.07179487179487179,0.07008547008547009,0.2606837606837607,0.14786324786324787,0.10512820512820513,0.09743589743589744,0.10341880341880341,0.12307692307692308,0.01282051282051282,0.007692307692307693
"Deaf Smith County, Texas",32.0,10375,5966,51841,63376,21515,30389,45189,30660,12.62608379620289,0.7227366527329488,0.25297634795491825,0.007619450764590719,0.0025398169215302396,0.005450023810783639,0.0008466056405100799,0.0009524313455738398,0.006878670829144399,0.5030424890205831,0.4969575109794169,0.08799407376051643,0.0835493941478385,0.09238584052066247,0.07989840732313878,0.06883962114397588,0.12550928620561935,0.1224403407587703,0.109794169003651,0.05820413778506799,0.04883856288692524,0.06767553838827452,0.038890946610931794,0.01597968146462776,0.7961050773099353,0.20389492269006473,0.05408046913178042,0.06760058641472552,0.07672259325623065,0.11174458380843785,0.17462127382309822,0.18325460172666558,0.14660368138133245,0.1418797849812673,0.02296791008307542,0.020524515393386546
"Galveston County, Texas",37.5,224321,86982,69369,95026,35448,37876,64771,47458,863.1751452088341,0.24276573042810978,0.5768032553830914,0.12350766916649597,0.002283782089889908,0.03247128457392331,0.0006206261904252359,0.0010639306121575473,0.020483721555906803,0.49304317785067675,0.5069568221493232,0.06473161738853951,0.06663324049417743,0.07165633818318562,0.0677399729125712,0.060854996652287295,0.1335630363601344,0.13106218796718935,0.13487460599408724,0.07211798623616203,0.06143893558022434,0.08328314312006824,0.03860417195319928,0.013439767158174075,0.8581900407514164,0.14180995924858364,0.05981658150208506,0.04002315805371662,0.08711959121000831,0.0828319950327653,0.10892675845982161,0.1533465904800262,0.11294585546353865,0.16983411785435598,0.08848725887515628,0.09666809306852603
"La Salle County, Texas",33.8,3469,2035,51792,79335,25129,23943,38947,28830,4.983507140627859,0.8238628694830611,0.15184235389391282,0.01268727223646916,0.0,0.0016196517748684033,0.0,0.0,0.009987852611688487,0.5949520853016601,0.40504791469833984,0.06856525846942907,0.07180456201916588,0.038736671615602646,0.05641787015791605,0.08165744364961533,0.20232150087731138,0.1197192603590228,0.1329464165204481,0.0489944661897692,0.03927655554055878,0.08975570252395734,0.04467539479012012,0.005128897287083277,0.7488796167516613,0.25112038324833874,0.06859205776173286,0.11236462093862816,0.10243682310469314,0.04016245487364621,0.1421480144404332,0.3055054151624549,0.07084837545126353,0.03700361010830325,0.06633574007220217,0.0546028880866426
