county_state,total_cases,total_fatalities,death_rate,total_tests,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,obes_percent,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density,covid_severity,inc_hhlds_less_than_25_000,inc_hhlds_25_000_to_49_999,inc_hhlds_less_than_99_999,inc_hhlds_100_000_or_more,inc_hhlds_less_than_49_999,inc_hhlds_50_000_to_99_999,race_pop_other,race_pop_minority,sex_age_pop_0_to_44,sex_age_pop_45_to_74,sex_age_pop_75_and_over,sex_age_pop_0_to_64,sex_age_pop_65_and_over,sex_age_pop_0_to_35,sex_age_pop_35_to_59,sex_age_pop_60_to_84,percent_race_pop_hispanic_or_latino_of_any_race,percent_race_pop_white_alone,percent_race_pop_black_or_african_american_alone,percent_race_pop_american_indian_and_alaska_native_alone,percent_race_pop_asian_alone,percent_race_pop_native_hawaiian_and_other_pacific_islander_alone,percent_race_pop_some_other_race_alone,percent_race_pop_two_or_more_races,percent_sex_age_pop_male,percent_sex_age_pop_female,percent_sex_age_pop_under_5,percent_sex_age_pop_5_to_9,percent_sex_age_pop_10_to_14,percent_sex_age_pop_15_to_19,percent_sex_age_pop_20_to_24,percent_sex_age_pop_25_to_34,percent_sex_age_pop_35_to_44,percent_sex_age_pop_45_to_54,percent_sex_age_pop_55_to_59,percent_sex_age_pop_60_to_64,percent_sex_age_pop_65_to_74,percent_sex_age_pop_75_to_84,percent_sex_age_pop_85_and_over,percent_health_ins_noninst_pop_cov_yes,percent_health_ins_noninst_pop_cov_no,percent_inc_hhlds_less_than_10_000,percent_inc_hhlds_10_000_to_14_999,percent_inc_hhlds_15_000_to_24_999,percent_inc_hhlds_25_000_to_34_999,percent_inc_hhlds_35_000_to_49_999,percent_inc_hhlds_50_000_to_74_999,percent_inc_hhlds_75_000_to_99_999,percent_inc_hhlds_100_000_to_149_999,percent_inc_hhlds_150_000_to_199_999,percent_inc_hhlds_200_000_or_more,percent_inc_hhlds_less_than_25_000,percent_inc_hhlds_25_000_to_49_999,percent_inc_hhlds_less_than_99_999,percent_inc_hhlds_100_000_or_more,percent_inc_hhlds_less_than_49_999,percent_inc_hhlds_50_000_to_99_999,percent_race_pop_other,percent_race_pop_minority,percent_sex_age_pop_0_to_44,percent_sex_age_pop_45_to_74,percent_sex_age_pop_75_and_over,percent_sex_age_pop_0_to_64,percent_sex_age_pop_65_and_over,percent_sex_age_pop_0_to_35,percent_sex_age_pop_35_to_59,percent_sex_age_pop_60_to_84
"Columbia County, New York",680.0,48.0,0.07058823529411765,39059,60919,2827,52771,2564,33,1095,0,94,1535,60919,30495,30424,2572,3150,2951,3355,3285,6515,6492,8982,4977,5063,7870,4140,1567,47.8,634.663,0.073,59273,56514,42462,24148,2759,25243,1316,959,2438,2344,3082,4580,3747,3732,1589,1456,63032,84495,35581,52195,43119,7.0588235294117645,1.116236313793726,64.11628555951346,95.98637387085743,1,4713,5426,18466,5321,10139,8327,1662,8148,28320,26892,5707,47342,13577,21828,20451,17073,0.04640588322198329,0.8662486252236576,0.04208867512598696,0.0005417029169881318,0.017974687700060735,0.0,0.001543032551420739,0.025197393259902494,0.5005827410167599,0.49941725898324,0.042219997045256814,0.05170800571250349,0.04844137297066597,0.0550731298937934,0.05392406310018221,0.10694528800538419,0.10656773748748338,0.14744168486022424,0.08169864902575551,0.0831103596579064,0.12918793808171505,0.06795909322214744,0.025722680936981893,0.9534526681625698,0.0465473318374302,0.05213326466743255,0.037990730103395,0.09658123044012201,0.09285742582101969,0.12209325357524858,0.18143643782434735,0.1484371905082597,0.1478429663669136,0.06294814403993186,0.057679356653329635,0.18670522521094957,0.21495067939626827,0.7315295329398249,0.21079111040684545,0.40165590460721784,0.3298736283326071,0.027282128728311365,0.13375137477634236,0.4648795942152695,0.4414386316256012,0.09368177415912933,0.7771302877591556,0.2228697122408444,0.3583118567277861,0.33570807137346315,0.2802573909617689
"Cortland County, New York",510.0,1.0,0.0019607843137254893,42981,48123,1278,44579,693,111,343,0,93,1026,48123,23550,24573,2527,2832,2412,4399,5791,5466,4879,6120,3494,2656,4399,2104,1044,36.4,498.773,0.105,47652,45596,36014,16049,2056,17685,812,1148,1702,1703,2746,3347,2556,2285,847,539,54489,71421,26979,47978,38684,0.19607843137254896,1.059784302724269,89.31488061841532,96.4827687144252,1,3662,4449,14014,3132,8111,5903,1230,3544,28306,16669,3148,40576,7547,23427,14493,9159,0.026556947821208154,0.9263553810028469,0.014400598466429774,0.0023065893647528208,0.007127568937929888,0.0,0.0019325478461442553,0.021320366560688236,0.4893709868462066,0.5106290131537934,0.052511273195769176,0.05884919892774765,0.05012156349354779,0.09141159113106,0.1203374685701224,0.11358394115080107,0.1013860316272884,0.12717411632691228,0.072605614778796,0.05519190407913056,0.09141159113106,0.043721297508467885,0.021694408079296804,0.9568538571308655,0.04314614286913456,0.04591461690698332,0.06491376873056262,0.09623975120158326,0.0962962962962963,0.1552728300819904,0.1892564320045236,0.14452926208651398,0.12920554141928187,0.047893695221939495,0.030477806050325133,0.2070681368391292,0.25156912637828666,0.7924229573084535,0.17709923664122137,0.4586372632174159,0.3337856940910376,0.025559503771585314,0.07364461899715313,0.5882010680963364,0.34638322631589885,0.06541570558776469,0.8431727032811753,0.15682729671882467,0.48681503646904806,0.3011657627329967,0.19032479271865843
"Delaware County, New York",169.0,5.0,0.02958579881656805,26897,45502,1742,41958,720,70,363,8,39,602,45502,22943,22559,1795,2192,2243,3563,2821,4443,4280,6128,3710,3732,6144,3188,1263,47.5,1442.42,0.076,45062,42341,29965,21037,2721,19030,1193,1315,2504,2043,2688,3856,2239,2248,514,430,48827,61473,26629,47715,35985,2.9585798816568047,0.3714122456155773,59.11168739835611,31.545596982848267,1,5012,4731,15838,2762,9743,6095,719,3544,21337,19714,4451,34907,10595,17057,14118,13064,0.03828403147114413,0.9221133137004967,0.01582348028658081,0.001538393916750912,0.007977671311151157,0.00017581644762867566,0.0008571051821897939,0.013230187684057844,0.5042195947430882,0.4957804052569118,0.039448815436684104,0.04817370665025713,0.04929453650388994,0.07830425036262142,0.061997274845061755,0.09764405960177575,0.09406179948134148,0.13467539888356556,0.08153487758779834,0.08201837281877719,0.13502703177882291,0.07006285438002725,0.02775702166937717,0.9396165283387333,0.0603834716612667,0.0626904887020494,0.06910141881240148,0.13158171308460326,0.10735680504466631,0.14125065685759328,0.2026274303730951,0.11765633210719915,0.11812926957435628,0.027009984235417762,0.02259590120861797,0.2633736205990541,0.2486074619022596,0.832264844981608,0.14513925380977405,0.5119810825013137,0.3202837624802943,0.015801503230627224,0.07788668629950332,0.4689244428816316,0.433255681068964,0.09781987604940443,0.7671530921717726,0.23284690782822734,0.3748626434002901,0.3102720759527054,0.2871082589776274
"Dutchess County, New York",5438.0,165.0,0.030342037513791838,212584,293894,34970,211310,28478,410,10600,79,1112,6935,293894,146174,147720,13631,14599,17309,21866,22024,33821,33864,44870,23014,20196,27457,14698,6545,42.0,795.6469999999997,0.081,285918,271484,217828,93797,14434,107347,4288,4595,7062,8073,10738,16901,14471,20484,10440,10295,78028,100352,38048,62784,51521,3.0342037513791835,1.8503269886421636,72.33356244088004,369.3773746397586,1,15945,18811,66128,30924,34756,31372,8536,82584,157114,115537,21243,245194,48700,123250,101748,62351,0.11898847883930941,0.7190007281536881,0.09689888190980421,0.0013950608042355406,0.03606742567047983,0.0002688043988648969,0.0037836771080729786,0.023596943115545062,0.4973697999959169,0.5026302000040831,0.04638066785984062,0.04967437239276746,0.05889538405003165,0.07440097450101057,0.07493858329874037,0.1150789060001225,0.11522521725520085,0.1526740933806066,0.07830714475287008,0.06871865366424629,0.09342484024852497,0.050011228538180436,0.022269934057857595,0.949516994383005,0.050483005616995084,0.039945224365841615,0.04280510866628783,0.06578665449430351,0.07520470995929089,0.10003074142733379,0.15744268586919058,0.13480581665067493,0.19082042348645048,0.09725469738325244,0.09590393769737393,0.14853698752643296,0.1752354513866247,0.6160209414329232,0.28807512086970294,0.3237724389130577,0.2922485025198655,0.02904448542671848,0.28099927184631196,0.534594105357714,0.393124732046248,0.07228116259603802,0.834293997155437,0.165706002844563,0.41936888810251316,0.34620645538867756,0.2121547224509517
"Erie County, New York",12819.0,647.0,0.05047195569077152,532726,919866,49413,696992,119231,4092,31615,247,1276,17000,919866,444998,474868,50232,50843,53014,59078,62986,128665,101496,123733,69088,62199,87041,46937,24554,40.4,1042.724,0.09699999999999999,908252,874526,649202,358361,33726,387847,27586,22626,39273,37590,48286,67581,48461,57408,22083,16953,55673,75293,32347,53789,43188,5.047195569077153,1.3935725420876521,57.91343521773825,882.1759161580629,1,89485,85876,291403,79491,175361,116042,22615,222874,506314,342061,71491,761334,158532,404818,294317,196177,0.05371760669488817,0.7577103621614453,0.1296177921566837,0.004448474016867674,0.034369136374211025,0.000268517371008386,0.0013871585643995973,0.0184809526604962,0.4837639395303229,0.5162360604696771,0.05460795376717913,0.055272180948094614,0.05763230731432622,0.06422457183981145,0.06847301672200082,0.1398736337683967,0.11033781007233662,0.13451198326712804,0.07510659161225657,0.06761745732530608,0.09462356473660294,0.051025910295630014,0.02669301833093081,0.9628671337910624,0.03713286620893761,0.07112598524675967,0.058337437185281824,0.10125900161661686,0.09691966161914363,0.12449754671300796,0.17424654567393844,0.12494875556598349,0.14801713046639525,0.056937400572906326,0.043710535339966536,0.23072242404865836,0.2214172083321516,0.7513349336207319,0.20495453103930159,0.45213963238080995,0.29919530123992194,0.02458510261277186,0.24228963783855476,0.5504214744321455,0.3718595969412936,0.07771892862656082,0.8276575066368362,0.17234249336316376,0.44008366435980895,0.31995638495172124,0.21326693235753905
"Essex County, New York",197.0,14.0,0.07106598984771574,21975,37751,1133,34773,1080,78,134,8,56,489,37751,19622,18129,1495,1870,1633,2068,1954,4517,4291,5365,3341,2895,4707,2592,1023,47.0,1794.118,0.086,35351,33978,25513,15376,1373,15425,669,835,1528,1587,2084,3200,2179,2225,673,445,56196,72078,30273,47135,36247,7.106598984771575,0.5218404810468596,58.21037853301899,21.041536844287837,1,3032,3671,12082,2898,6703,5379,631,2978,17828,16308,3615,29429,8322,13537,12997,10194,0.030012450001324468,0.9211146724590077,0.028608513681756775,0.0020661704325713225,0.0035495748456994517,0.0002119149161611613,0.0014834044131281292,0.012953299250350984,0.5197743106142884,0.48022568938571164,0.039601599957617015,0.04953511165267145,0.04325713226139705,0.0547800058276602,0.05176021827236365,0.11965245953749569,0.11366586315594289,0.1421154406505788,0.08850096686180499,0.07668671028582025,0.12468543879632328,0.06866043283621626,0.0270986199041085,0.9611609289694776,0.038839071030522476,0.04337115072933549,0.05413290113452188,0.09905996758508914,0.10288492706645057,0.13510534846029174,0.20745542949756887,0.14126418152350081,0.14424635332252836,0.04363047001620746,0.028849270664505672,0.19656401944894653,0.2379902755267423,0.7832739059967585,0.18787682333873582,0.4345542949756888,0.3487196110210697,0.016714789012211597,0.0788853275409923,0.47225239066514796,0.4319885565945273,0.09575905274032476,0.779555508463352,0.22044449153664802,0.35858652750920506,0.3442822706683267,0.27003258191835977
"Franklin County, New York",79.0,1.0,0.012658227848101266,29115,50692,1759,41423,2915,3618,254,94,48,581,50692,27816,22876,2463,2769,2946,3023,3803,7040,6036,7430,3625,3476,4785,2494,802,40.6,1629.214,0.12,45937,42948,31244,19601,2989,19088,1478,1505,1943,1746,2657,3683,2581,2287,711,497,51696,65355,25491,48032,40869,1.2658227848101269,0.15584313106604591,57.43509824035351,31.114390129227964,1,4926,4403,15593,2998,9329,6264,4341,9269,28080,19316,3296,42611,8081,22044,17091,10755,0.034699755385465166,0.8171506352087115,0.05750414266550935,0.07137220863252584,0.005010652568452616,0.0018543359898997868,0.0009468949735658487,0.01146137457586996,0.5487256371814093,0.4512743628185907,0.04858754833109761,0.054624003787579894,0.05811567900260396,0.05963465635603251,0.07502169967647755,0.13887792945632446,0.11907204292590547,0.14657145111654699,0.07151029748283753,0.0685709776690602,0.09439359267734554,0.04919908466819222,0.015821036849996056,0.934932625117008,0.06506737488299193,0.07743084660519699,0.07884534786253143,0.10179170159262364,0.09147108130762784,0.13919740150880133,0.19294844928751048,0.13521584241408213,0.11981349538977368,0.037248533109807205,0.026037300922045262,0.2580678960603521,0.23066848281642918,0.8169006705783739,0.1570620284995809,0.48873637887678123,0.3281642917015926,0.08563481417186143,0.18284936479128858,0.5539335595360214,0.3810463189457903,0.06502012151818827,0.8405862858044661,0.15941371419553382,0.434861516610116,0.33715379152529,0.21216365501459797
"Fulton County, New York",361.0,28.0,0.07756232686980609,28501,53743,1581,49973,1058,132,382,15,0,602,53743,26847,26896,2677,3099,3156,3151,3060,6407,6208,8041,3781,4182,5734,2710,1537,43.8,495.46,0.11800000000000001,52990,49650,34085,24417,3340,22439,1242,1389,2541,2723,3263,4552,2852,2574,809,494,50248,63186,26875,45184,36783,7.756232686980609,0.6717153861898294,53.03202277505908,108.47091591652205,1,5172,5986,18562,3383,11158,7404,749,3770,27758,21738,4247,43762,9981,21550,18030,12626,0.029417784641720783,0.9298513294754666,0.019686284725452616,0.0024561338220791544,0.007107902424501796,0.00027910611614535846,0.0,0.01120145879463372,0.4995441266769626,0.5004558733230374,0.04981113819474164,0.05766332359563106,0.05872392683698342,0.05863089146493497,0.05693764769365313,0.11921552574288745,0.11551271793535903,0.14961948532832184,0.07035334834304002,0.07781478518132594,0.1066929646651657,0.05042517165026143,0.0285990733676944,0.936969239479147,0.06303076052085299,0.05535006016310887,0.061901154240385045,0.11324034047863095,0.1213512188600205,0.14541646240919828,0.20286109006640224,0.12710013815232407,0.11471099425108071,0.03605330005793485,0.02201524132091448,0.23049155488212486,0.2667676812692188,0.82722046437007,0.15076429430901556,0.49725923615134365,0.3299612282187263,0.013936698732858233,0.07014867052453343,0.5164951714641907,0.4044805835178535,0.07902424501795582,0.8142827903168784,0.18571720968312153,0.40098245352883166,0.3354855516067209,0.23493292149675307
"Genesee County, New York",380.0,6.0,0.015789473684210527,37482,58112,1849,52697,1249,501,477,0,43,1296,58112,29022,29090,2980,3516,3265,3453,3633,7081,6380,8579,5104,3668,5673,3181,1599,43.3,492.93699999999995,0.111,57637,55277,42850,22280,2360,23681,1241,1354,2040,2259,3076,4602,3783,3540,1125,661,59338,71189,29465,49783,37947,1.5789473684210529,0.6539096916299559,64.49958700440529,117.8893043127215,1,4635,5335,18355,4665,9970,8385,1840,5415,30308,23024,4780,47659,10453,23928,20063,12522,0.031817868942731274,0.9068178689427313,0.021492979074889867,0.008621283039647577,0.008208287444933921,0.0,0.0007399504405286344,0.022301762114537445,0.499414922907489,0.500585077092511,0.051280286343612334,0.06050385462555066,0.056184609030837,0.05941974118942731,0.06251720814977973,0.12185090859030837,0.10978799559471365,0.14762871696035243,0.08783039647577093,0.06311949339207049,0.09762183370044053,0.054739124449339205,0.027515831497797356,0.9590540798445443,0.040945920155455694,0.0524048815506102,0.057176639500021116,0.08614501076812635,0.09539293104176344,0.12989316329546893,0.19433300958574384,0.15974832143912843,0.14948693045057218,0.047506439761834385,0.027912672606731134,0.19572653181875765,0.22528609433723237,0.7750939571808623,0.19699337021240657,0.42101262615599006,0.35408133102487227,0.03166299559471366,0.09318213105726872,0.521544603524229,0.39620044052863435,0.08225495594713657,0.8201232103524229,0.17987678964757708,0.4117566079295154,0.345247109030837,0.21548045154185022
"Greene County, New York",490.0,15.0,0.030612244897959183,24698,47617,2753,40625,2763,233,516,5,166,556,47617,24903,22714,2029,2014,2442,2735,2970,5739,5187,7032,3775,3698,5909,2750,1337,45.8,647.161,0.08900000000000001,44687,42212,31338,18807,2475,17117,1032,1193,1721,1896,2171,3128,2415,2244,793,524,53617,68228,27271,46820,39630,3.0612244897959178,1.0290442489027027,51.86803032530399,73.5782904099598,1,3946,4067,13556,3037,8013,5543,960,6992,23116,20414,4087,37621,9996,17929,15994,12357,0.05781548606590083,0.853161685952496,0.05802549509628914,0.004893210408047546,0.010836465968036625,0.00010500451519415334,0.003486149904445891,0.011676502089589853,0.5229854883760001,0.4770145116239998,0.04261083226578743,0.04229581872020497,0.0512842052208245,0.05743746981120188,0.062372682025327086,0.12052418253984921,0.10893168406241469,0.14767835016905728,0.07927840897158578,0.07766133943759582,0.12409433605645043,0.05775248335678434,0.028078207362916604,0.9446147649204467,0.05538523507955334,0.06029093883273938,0.06969679266226558,0.10054331950692294,0.11076707366945142,0.12683297306771046,0.18274230297365193,0.14108780744289304,0.13109773908979377,0.04632821171934334,0.030612841035228135,0.23053105100192792,0.2376000467371619,0.7919612081556348,0.17742595080913712,0.4681310977390898,0.32383011041654497,0.020160866917277444,0.14683831404750405,0.48545687464560977,0.4287124346346893,0.08583069071970095,0.7900749732238487,0.20992502677615138,0.37652519058319506,0.3358884432030577,0.25950815885083056
"Hamilton County, New York",16.0,1.0,0.0625,2611,4575,71,4363,37,16,1,1,0,86,4575,2347,2228,147,167,191,291,243,267,390,631,596,333,807,348,164,54.0,1717.376,0.08900000000000001,4550,4241,2858,2183,309,1124,62,44,122,112,153,269,150,137,42,33,57552,66547,25918,37391,41294,6.25,0.3497267759562841,57.071038251366126,2.663947790117016,1,228,265,912,179,493,419,103,212,1696,2367,512,3256,1319,1306,1617,1488,0.01551912568306011,0.9536612021857923,0.008087431693989072,0.0034972677595628415,0.0002185792349726776,0.0002185792349726776,0.0,0.018797814207650275,0.5130054644808744,0.4869945355191257,0.032131147540983604,0.03650273224043716,0.04174863387978142,0.06360655737704918,0.05311475409836065,0.058360655737704915,0.08524590163934426,0.13792349726775957,0.13027322404371586,0.07278688524590164,0.1763934426229508,0.0760655737704918,0.03584699453551913,0.9320879120879121,0.06791208791208792,0.05516014234875445,0.03914590747330961,0.10854092526690391,0.099644128113879,0.13612099644128114,0.2393238434163701,0.13345195729537365,0.12188612099644128,0.037366548042704624,0.029359430604982206,0.20284697508896798,0.23576512455516013,0.8113879003558719,0.1592526690391459,0.4386120996441281,0.37277580071174377,0.022513661202185793,0.046338797814207654,0.37071038251366123,0.5173770491803279,0.11191256830601093,0.7116939890710382,0.28830601092896174,0.2854644808743169,0.3534426229508197,0.32524590163934425
"Herkimer County, New York",387.0,10.0,0.025839793281653745,45759,62505,1309,59147,714,150,322,15,85,763,62505,30918,31587,3214,3579,3884,4133,3851,6851,6661,8638,4933,4510,6913,3562,1776,44.0,1411.515,0.09,61854,58224,39682,28160,3630,24583,1351,1336,2820,2868,3556,4888,3411,3012,863,478,51862,63842,26151,45350,36838,2.5839793281653747,0.619150467962563,73.20854331653467,44.2822074154366,1,5507,6424,20230,3875,11931,8299,1013,3358,32173,24994,5338,50254,12251,25512,20232,14985,0.020942324614030877,0.9462762978961683,0.011423086153107751,0.0023998080153587713,0.005151587872970162,0.00023998080153587713,0.0013598912087033038,0.01220702343812495,0.49464842812574994,0.5053515718742501,0.051419886409087276,0.05725941924646028,0.06213902887768979,0.06612271018318534,0.061611071114310856,0.10960723142148628,0.10656747460203184,0.13819694424446044,0.0789216862650988,0.07215422766178706,0.11059915206783458,0.05698744100471962,0.028413726901847854,0.9413134154622175,0.05868658453778252,0.05495667737867632,0.05434649961355408,0.11471341984298092,0.11666598869137208,0.14465280885164544,0.19883659439450027,0.13875442378879713,0.12252369523654558,0.03510556075336615,0.019444331448562016,0.22401659683521133,0.2613187975430175,0.8229264125615262,0.15762925598991173,0.48533539437822887,0.3375910181832974,0.016206703463722903,0.05372370210383169,0.5147268218542517,0.39987201023918084,0.08540116790656747,0.803999680025598,0.19600031997440204,0.4081593472522198,0.32368610511159107,0.23974082073434125
"Jefferson County, New York",202.0,1.0,0.0049504950495049506,43916,114448,8485,93636,6452,427,1811,208,70,3359,114448,59931,54517,9078,7900,6749,6937,11415,19655,13294,12635,6310,5856,8506,4271,1842,32.4,1268.6960000000001,0.109,102603,96498,70552,40989,6105,43267,2752,2149,4086,4793,6861,8836,6096,5396,1307,991,52268,65268,25884,41150,34459,0.4950495049504951,0.17649937089333148,38.37201174332448,90.20915964108029,1,8987,11654,35573,6703,20641,14932,4064,20812,75028,33307,6113,99829,14619,61734,32239,18633,0.0741384733678177,0.8181532224241577,0.05637494757444429,0.00373095204809171,0.01582378023207046,0.0018174192646442052,0.0006116314832937229,0.02934957360548022,0.5236526632182301,0.4763473367817699,0.07931986579057738,0.06902698168600588,0.05897001258213337,0.06061267999440794,0.09973961973996924,0.17173738291625892,0.11615755627009647,0.11039948273451698,0.05513420942261988,0.05116734237382916,0.07432196281280581,0.03731825807353558,0.016094645603243394,0.9404988158240987,0.05950118417590129,0.0636050569718261,0.04966833845656043,0.09443686874523309,0.11077726673908521,0.15857350867866965,0.20422030646913353,0.140892597129452,0.12471398525435089,0.030207779601081657,0.02290429195460744,0.20771026417361962,0.2693507754177549,0.8221739431899601,0.15492176485543255,0.47706103959137447,0.34511290359858554,0.035509576401509854,0.1818467775758423,0.6555640989794492,0.29102299734377185,0.05341290367677897,0.8722651335104152,0.1277348664895848,0.5394065427093527,0.2816912484272333,0.16280756326017057
"Kings County, New York",74553.0,5110.0,0.06854184271592023,1680230,2600747,499279,940759,787705,3667,304870,846,11136,52485,2600747,1231912,1368835,193743,162283,154327,141394,171719,474552,359498,311752,148957,138974,192857,103729,46962,35.1,69.37100000000001,0.095,2588145,2374783,1411519,1166929,213362,950856,88547,65443,95330,81986,105546,138339,104354,129218,62876,79217,56015,85910,31984,52893,49314,6.854184271592024,2.8665994808414657,64.60566906354212,37490.40665407735,2,249320,187532,679545,192094,436852,242693,68134,1659988,1657516,792540,150691,2257199,343548,1298018,820207,435560,0.19197522865545938,0.3617264578215413,0.3028764428066244,0.0014099795174232633,0.11722401294704944,0.0003252911567330463,0.004281846715578255,0.02018074037959094,0.47367621687153727,0.5263237831284627,0.07449513543608817,0.062398610860648886,0.059339489769670024,0.05436668772471909,0.06602679922345388,0.1824675756619156,0.1382287473560481,0.11987017576104096,0.05727469838473331,0.05343618583430068,0.07415446408281928,0.0398843101616574,0.018057119742904634,0.9175618058493632,0.08243819415063684,0.09312345928300395,0.06882535315547254,0.10025703155893216,0.08622336084538564,0.11100103485701306,0.1454889068376284,0.10974742758104276,0.13589649747175178,0.06612568043951976,0.08331124797024997,0.26220584399740865,0.1972243957023987,0.7146665741184786,0.20202217791127153,0.45943023969980734,0.25523633441867116,0.026197857769325504,0.6382735421784588,0.6373230460325437,0.3047355240628942,0.05794142990456203,0.8679041060126187,0.1320958939873813,0.49909429867649563,0.31537362150182235,0.16747496007877738
"Lewis County, New York",108.0,5.0,0.04629629629629629,12679,26719,456,25607,206,55,145,23,20,207,26719,13451,13268,1661,1552,1903,1659,1571,3051,2982,3632,2094,1994,2559,1371,690,42.0,1274.642,0.12,26366,24621,18132,10309,1745,10242,442,674,822,1270,1676,1996,1424,1309,375,254,52380,66189,26169,45157,39680,4.629629629629629,0.4042067442643811,47.45312324563046,20.961964222110996,1,1938,2946,8304,1684,4884,3420,305,1112,14379,10279,2061,22099,4620,11397,8708,5924,0.01706650698005165,0.9583816759609267,0.007709869381339122,0.0020584602717167557,0.005426849807253265,0.0008608106590815524,0.0007485310078970022,0.0077472959317339725,0.5034245293611288,0.4965754706388712,0.062165500205846026,0.058086006212807365,0.07122272540139975,0.062090647105056324,0.058797110670309516,0.11418840525468768,0.11160597327744302,0.13593323103409558,0.07837119652681612,0.07462854148733111,0.09577454246042143,0.051311800591339496,0.025824319772446574,0.9338162785405446,0.06618372145945536,0.043155633665299745,0.06580745948057021,0.08025776215582894,0.12399921890255809,0.16363991407928138,0.1948838117555165,0.13903534465924625,0.12780706893184926,0.03661394258933802,0.02479984378051162,0.18922085530169888,0.28763913298183946,0.8107791446983011,0.16442101152118727,0.47685998828353837,0.3339191564147627,0.011415097870429283,0.04161832403907332,0.5381563681275496,0.3847075115086642,0.07713612036378607,0.8270893371757925,0.1729106628242075,0.42655039485010665,0.3259104008383547,0.22171488453909202
"Livingston County, New York",280.0,6.0,0.021428571428571432,34406,63907,2223,58112,1696,115,833,22,68,838,63907,32050,31857,2804,3028,3500,5379,6509,7028,6593,8973,4736,4644,6182,3172,1359,40.8,631.762,0.111,61252,59228,47872,21404,2024,24383,1300,1300,2552,2140,3582,4760,3392,3710,1089,558,56071,69001,27073,50564,42686,2.1428571428571432,0.4381366673447353,53.8376077737963,101.15676473102215,1,5152,5722,19026,4799,10874,8152,1043,5795,34841,24535,4531,53194,10713,28248,20302,13998,0.034784921839548094,0.9093213575977592,0.026538563850595397,0.0017994898837373058,0.013034565853505875,0.00034425023862800634,0.0010640461921229286,0.01311280454410315,0.5015100067285274,0.4984899932714726,0.04387625768695135,0.047381351025709235,0.054767083418091916,0.08416918334454755,0.1018511274195315,0.10997230350352856,0.10316553742156571,0.1404071541458682,0.07410768773373809,0.07266809582674824,0.09673431705446978,0.04963462531491073,0.021265276104339117,0.9669561810226605,0.03304381897733952,0.053315834802936474,0.053315834802936474,0.10466308493622606,0.08776606652175696,0.1469056309723988,0.19521797973998278,0.13911331665504656,0.15215519009145717,0.04466226469261371,0.02288479678464504,0.211294754542099,0.23467169749415576,0.7802977484312841,0.19681745478407087,0.4459664520362548,0.33433129639502934,0.016320590858591392,0.09067864240224076,0.5451828438199259,0.38391725476082433,0.07089990141924984,0.8323657815262804,0.16763421847371962,0.4420173063983601,0.317680379301172,0.21903703819612874
