county_name,total_cases,total_fatalities,death_rate,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,pop_density
Culberson,88.0,2,0.022727272727272728,2241,1646,534,3,0,12,0,0,46,2241,1231,1010,195,156,110,109,90,374,173,294,199,113,217,140,71,43.0,3812.156,2233,1770,1115,820,463,681,67,56,156,71,106,115,53,53,2,2,33417,42536,15873,20055,29893,19914,0.5878563206752294
Dallam,332.0,10,0.030120481927710843,7243,3260,3655,63,85,107,0,0,73,7243,3795,3448,692,634,663,581,294,1143,680,1027,454,324,422,255,74,31.6,1503.132,7204,5408,4039,1856,1796,2404,74,78,283,301,459,500,251,262,118,78,51250,78602,26844,29462,45890,31543,4.818605418552728
Dallas,90790.0,1211,0.013338473400154201,2586552,1033000,765816,572790,5243,158780,1125,4484,45314,2586552,1275226,1311326,195852,194682,188069,175401,183838,421527,359293,327994,149682,126422,160112,73856,29824,33.3,872.056,2568003,2027479,1428744,760531,540524,917276,56186,38084,86536,94733,128009,171046,108993,119771,50048,63870,56854,85064,31219,32067,42810,40218,2966.038878237177
Dawson,762.0,16,0.02099737532808399,12964,7402,4630,763,56,6,0,0,107,12964,7235,5729,852,740,1067,743,1285,2157,1630,1333,708,601,977,610,261,33.0,900.306,11190,9464,6020,4642,1726,4322,394,322,815,373,609,603,441,519,106,140,44657,62692,21543,26579,44051,26088,14.39954859792115
Deaf Smith,988.0,42,0.04251012145748988,18899,13659,4781,144,48,103,16,18,130,18899,9507,9392,1663,1579,1746,1510,1301,2372,2314,2075,1100,923,1279,735,302,32.0,1496.8220000000001,18691,14880,10375,5966,3811,6139,332,415,471,686,1072,1125,900,871,141,126,51841,63376,21515,30389,45189,30660,12.626083796202892
Delta,32.0,25,0.78125,5215,380,4232,391,16,35,0,3,158,5215,2527,2688,315,282,378,434,241,516,541,647,400,419,613,293,136,42.3,256.832,5149,4367,3051,2071,782,2015,158,134,170,309,289,298,281,229,85,62,46138,63240,25004,27575,52143,36349,20.30510216795415
Denton,13773.0,0,0.0,807047,155047,484341,74946,2730,66371,620,1354,21638,807047,397140,409907,52426,58124,59211,57237,53864,120505,125021,117565,49599,36830,50328,20174,6163,35.2,878.6010000000001,803126,710804,628614,139994,92322,283250,10133,5902,15106,18475,30850,46764,37790,56131,29352,32747,83376,108579,39535,41981,64216,49842,918.5591639435877
DeWitt,1072.0,166,0.15485074626865672,20435,7132,11271,1865,7,1,0,0,159,20435,10577,9858,1302,1378,1134,1190,879,2446,2839,2488,1412,1437,2101,1293,536,40.9,908.9760000000001,18492,16089,11832,6600,2403,7088,459,575,668,773,885,1199,891,885,244,509,53779,81174,28728,31431,46202,30306,22.481341641583494
Dickens,51.0,2,0.0392156862745098,2216,673,1463,68,0,12,0,0,0,2216,1143,1073,109,103,173,146,82,200,323,246,128,193,276,204,33,43.9,901.7239999999999,2092,1698,1223,886,394,842,101,98,99,63,139,141,88,73,20,20,41618,57230,23452,26317,46406,37422,2.457514716254641
Dimmit,283.0,7,0.024734982332155476,10663,9244,1008,5,0,402,0,0,4,10663,5186,5477,1015,746,981,864,523,1344,1457,923,435,641,927,515,292,33.7,1328.885,10555,8210,3740,4897,2345,3309,474,330,774,397,277,308,309,263,102,75,27832,50693,18121,20829,41473,21983,8.024020137182676
Donley,84.0,1,0.011904761904761904,3387,373,2749,166,13,14,0,0,72,3387,1634,1753,162,195,244,278,251,326,322,368,226,226,427,287,75,41.6,926.9060000000001,3322,2812,2125,1157,510,1290,98,77,151,166,233,214,154,130,44,23,43224,57942,23711,25236,46944,29677,3.65409221647071
Duval,471.0,21,0.044585987261146494,11355,10135,1028,191,0,0,0,1,0,11355,5758,5597,813,709,1016,633,930,1433,1297,1278,903,318,1101,709,215,36.1,1793.477,10856,8200,4568,5071,2656,3511,428,299,564,374,498,626,327,225,84,86,37382,50374,17864,22225,43637,24217,6.33127717835244
Eastland,235.0,6,0.02553191489361702,18270,2963,14532,550,71,119,0,0,35,18270,9245,9025,979,1149,1008,1461,1120,1767,2052,2007,1348,1272,2215,1234,658,42.4,926.505,18007,15083,10261,7858,2924,6460,695,457,1246,793,1023,945,373,498,220,210,35325,60741,23940,22690,48326,30581,19.719267570061685
Ector,3604.0,93,0.025804661487236404,158342,94453,52830,6704,339,1692,50,325,1949,158342,80249,78093,14526,13298,12743,11485,12562,26131,19808,17110,8353,7355,8654,4463,1854,30.3,897.811,157175,123453,95751,38448,33722,51954,2561,1891,4818,5325,6690,9794,6982,8186,3062,2645,60676,82506,28700,35230,54956,35600,176.36451324387872
Edwards,68.0,2,0.029411764705882353,2055,1194,859,0,1,0,0,0,1,2055,1062,993,120,132,63,156,89,140,163,367,122,134,334,219,16,49.3,2117.871,2043,1792,1034,1183,251,686,68,50,93,107,52,140,71,44,24,37,40313,62107,29814,21774,35163,33487,0.9703140559552492
Ellis,4796.0,581,0.12114261884904087,837654,690189,102112,25430,2213,9163,1022,425,7100,837654,411682,425972,65182,61152,66845,64636,71442,123364,104799,97217,46419,39134,54577,30595,12292,32.0,1013.186,813458,645185,420177,278278,168273,265724,23295,17387,33399,31324,40687,48631,27591,27684,9163,6563,44597,60632,20763,25578,38598,31418,826.7524422958866
El Paso,34760.0,75,0.00215765247410817,168838,43737,104141,15820,336,1104,46,159,3495,168838,83184,85654,11392,12826,13120,12711,10718,21434,22272,22939,11317,9272,12940,6149,1748,36.1,935.66,167585,142034,115928,42252,25551,55840,1972,1861,3719,4313,6129,10812,8484,10267,4812,3471,72213,90350,30727,36752,53656,43455,180.44802599234765
Erath,991.0,13,0.013118062563067608,41482,8671,31082,674,213,312,21,9,500,41482,20216,21266,2449,2551,2356,4548,5919,5055,4174,4327,2300,2085,3324,1612,782,30.0,1083.178,40979,33689,26740,10469,7290,13961,1656,639,1395,1559,1947,2491,1410,1716,744,404,48819,67961,25290,23053,42103,32345,38.29656806175901
Falls,639.0,5,0.00782472613458529,17299,3987,8878,4153,57,73,7,0,144,17299,8189,9110,1042,1022,1058,967,1175,2466,1914,2421,1238,1013,1600,904,479,39.3,765.465,15531,12901,8635,6361,2630,5237,806,392,566,676,818,852,505,458,118,46,38032,49617,17830,25760,31817,35503,22.599335044711385
