county_name,total_cases,total_fatalities,death_rate,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,pop_density
Madison,739.0,2,0.0027063599458728013,4161,978,3029,1,12,92,0,0,49,4161,2146,2015,213,124,297,351,200,316,445,533,318,320,643,331,70,46.9,928.836,4150,3306,2579,1584,844,1667,166,133,158,232,310,218,201,120,80,49,40708,60697,25602,22571,38106,28289,4.479800524527473
Marion,168.0,53,0.31547619047619047,36743,15441,16330,3587,98,710,53,0,524,36743,18319,18424,2579,2556,2764,2339,2361,4636,4015,4498,2328,2767,3214,1752,934,37.8,1092.896,36342,29201,19869,13234,7141,13636,1610,906,1448,1484,1919,2351,1588,1410,427,493,45500,62232,24376,27739,50541,31655,33.61985037917607
Martin,86.0,144,1.6744186046511629,57970,55206,1439,236,652,269,32,136,0,57970,28736,29234,5540,4796,4904,5194,4930,7450,6951,6309,2718,2582,3772,2245,579,29.6,1279.472,57698,40321,22777,19871,17377,16307,1715,1607,2630,1748,2015,2589,1955,1250,551,247,38035,54137,16891,21905,42442,23796,45.307751947678426
Mason,80.0,4,0.05,8098,2587,4945,148,2,16,0,251,149,8098,4260,3838,536,457,532,436,422,825,898,1080,539,584,1059,491,239,44.6,1065.601,7960,6496,4869,2929,1464,3255,275,203,386,347,534,732,362,286,35,95,45329,58607,24409,26869,45357,26534,7.599467342842207
Matagorda,1089.0,130,0.11937557392102846,248429,64733,139766,35575,418,3957,30,304,3646,248429,121359,127070,17541,16956,16751,20889,26258,31956,28004,27705,14318,13611,19183,10742,4515,33.2,1037.122,244239,207404,158338,77096,36835,89034,8072,4770,10774,10095,12112,15229,9979,11162,3631,3210,48199,66650,24826,26472,42600,33357,239.53691079737962
Maverick,4084.0,1,0.0002448579823702253,662,332,326,0,4,0,0,0,0,662,387,275,45,54,56,19,24,82,125,35,58,27,75,42,20,40.2,1139.799,662,581,502,210,81,223,16,14,6,10,42,45,26,23,16,25,68750,91265,32556,35500,58750,31875,0.5808041593298467
Medina,1257.0,48,0.03818615751789976,49334,25470,21679,1157,99,356,11,0,562,49334,25551,23783,2891,3061,3442,3492,3486,6103,5643,6687,3387,3198,4795,2163,986,39.3,1325.359,46905,40650,32565,14981,6255,15470,1104,827,1194,1511,1600,3101,1769,2669,981,714,61059,78044,26274,30122,46881,36149,37.22312218802604
Menard,49.0,0,0.0,2123,728,1319,14,12,0,0,0,50,2123,1117,1006,26,140,117,69,55,298,177,352,161,164,327,174,63,49.1,902.0269999999999,2074,1422,1095,775,652,992,81,86,216,72,156,127,147,63,38,6,40606,51494,25067,24932,34269,25909,2.3535880855007667
Midland,4666.0,75,0.01607372481783112,164194,72325,75960,9934,677,3316,72,100,1810,164194,82543,81651,14261,13180,12007,10706,11559,28956,20904,17789,9523,8516,9254,5172,2367,31.7,900.2539999999997,162946,134490,114797,31960,28456,55980,1822,1713,3641,4305,5805,9363,7701,10428,4836,6366,78888,109874,39179,42172,64365,42259,182.38630430967262
Milam,539.0,7,0.012987012987012988,24664,6459,15426,2093,28,121,0,12,525,24664,12343,12321,1548,1579,1706,1897,1388,2762,2322,3165,1590,1845,2839,1402,621,41.3,1016.915,24164,20935,15076,9389,3229,9381,476,791,1228,1133,1290,1828,1101,1015,324,195,47081,61094,24015,28440,47693,32055,24.25374785503213
Mills,71.0,1,0.014084507042253521,4902,968,3901,10,10,5,0,0,8,4902,2329,2573,177,314,451,382,167,319,366,592,393,328,711,476,226,50.6,748.215,4735,3755,2953,1818,980,1750,178,95,280,183,240,359,177,106,61,71,41827,60535,24274,23375,36765,36603,6.5515927908422045
Mitchell,154.0,2,0.012987012987012988,8558,3381,4159,847,53,30,0,0,88,8558,5383,3175,446,474,401,486,982,1619,1153,927,434,338,639,443,216,34.1,911.09,6308,5421,4090,2177,887,2441,48,87,441,175,479,337,343,394,22,115,49670,71553,20896,36892,42345,34250,9.393144475298817
Montague,245.0,5,0.02040816326530612,19409,2111,16694,120,32,0,0,0,452,19409,9403,10006,1108,1305,1328,1083,1039,2096,2019,2529,1295,1378,2426,1360,443,43.4,930.9060000000001,19113,15386,11910,6469,3727,7995,577,388,868,830,1040,1642,991,1004,381,274,51774,68340,28457,31811,54199,30751,20.849580945874237
Montgomery,12410.0,172,0.01385979049153908,554445,131147,370662,25296,805,15610,299,684,9942,554445,274604,279841,37835,41459,42853,38640,32889,70249,76216,76447,37260,31124,43917,18995,6561,36.9,1042.623,551489,472786,385596,133016,78703,192823,7698,5203,13614,14507,20528,31726,25034,32753,16584,25176,77416,110807,39618,40848,64402,46428,531.7789843500478
Moore,1289.0,22,0.017067494181536073,21801,11973,7174,627,97,1713,0,0,217,21801,11438,10363,1950,1974,1980,1699,1682,2953,2666,2415,1179,1039,1394,568,302,30.2,899.698,21627,18038,14667,5471,3589,6626,291,285,565,823,1167,1472,878,782,202,161,51527,63840,21650,30785,39335,31136,24.23146433581046
Morris,209.0,5,0.023923444976076555,12424,1176,8046,2927,75,17,6,0,177,12424,5981,6443,708,814,852,745,632,1382,1491,1372,868,921,1397,891,351,43.0,251.989,12272,10490,7701,4617,1782,5048,384,340,627,654,960,854,537,493,133,66,42961,56797,23438,27764,40670,30141,49.30373944894421
Motley,14.0,0,0.0,1156,224,861,19,0,0,0,11,41,1156,580,576,58,132,71,75,29,195,55,99,61,43,221,90,27,38.3,989.566,1156,920,610,609,236,465,40,16,66,75,60,90,53,39,6,20,43750,62145,26103,24483,33750,40139,1.168188882803168
Nacogdoches,1768.0,68,0.038461538461538464,65558,12565,39079,11311,182,1082,7,76,1256,65558,31365,34193,4385,4600,3913,6473,8712,7719,6618,6766,4056,3324,5203,2769,1020,30.6,946.557,64791,52520,38257,20424,12271,23904,2409,1567,3625,2373,3382,4250,2459,2481,485,873,43598,60789,22580,22169,43277,31661,69.2594318144602
Navarro,1393.0,32,0.02297200287150036,48583,13013,27526,6124,169,309,539,88,815,48583,23845,24738,3492,3280,3829,3489,2814,5587,5639,6170,3384,2815,4566,2518,1000,38.6,1009.632,47811,39507,26816,17529,8304,17397,1541,810,2058,1960,2654,3276,1943,1943,652,560,47920,64220,23422,27381,40466,33223,48.119512852207535
Newton,188.0,13,0.06914893617021277,14057,497,10335,2771,21,166,0,0,267,14057,7233,6824,679,640,898,1416,716,1191,1752,2005,845,1157,1613,872,273,44.3,933.677,13870,11580,8291,5473,2290,4978,467,315,888,535,707,800,485,569,151,61,40950,54380,21144,30362,51548,31327,15.05552776816822
Nolan,378.0,5,0.013227513227513227,14966,5527,8432,743,70,66,0,0,128,14966,7669,7297,1094,1183,1002,1164,910,1591,1650,1682,1111,926,1491,837,325,38.5,911.997,14785,12234,8963,5179,2551,5469,401,302,845,648,772,894,699,589,161,158,44346,66804,25820,26882,46875,30213,16.410141700027527
Nueces,16136.0,405,0.025099157164105105,360486,228462,107652,13071,919,7134,242,226,2780,360486,178020,182466,24665,25055,24806,25524,26397,52547,45030,43503,22563,21051,28881,15165,5299,35.3,838.316,355767,295165,208747,119691,60602,128926,8919,6943,13180,12922,16876,23391,16265,18198,6452,5780,55048,74820,27649,30869,48043,34488,430.0120718201728
Ochiltree,279.0,5,0.017921146953405017,10348,5564,4512,18,47,16,0,0,191,10348,5230,5118,904,834,999,906,531,1465,1467,1017,632,555,618,293,127,31.6,917.685,10285,8140,6621,2288,2145,3443,144,146,426,471,538,629,409,428,111,141,49928,70352,24260,27691,51412,24735,11.276200439148509
Oldham,27.0,2,0.07407407407407407,2090,353,1559,100,1,10,0,0,67,2090,1145,945,117,137,310,258,118,175,220,188,145,128,195,74,25,29.8,1500.523,1520,1356,1151,434,164,527,33,10,62,33,57,128,75,43,45,41,63315,87324,24151,30709,45972,31750,1.3928476937707719
Orange,2116.0,46,0.021739130434782608,84047,6165,68118,7090,277,1007,0,37,1353,84047,41630,42417,5725,5807,5808,5345,5299,10653,10243,11068,5970,5223,7443,4066,1397,37.8,333.781,83301,70470,52513,27767,12831,31989,1946,1743,2799,3487,4612,5485,3820,4871,2053,1173,55700,74104,28826,35328,59191,37068,251.80282880092042
Palo Pinto,677.0,17,0.025110782865583457,28317,5625,21299,628,161,217,37,19,331,28317,13987,14330,1726,2011,1744,1969,1562,3300,2985,3629,1813,2159,3122,1735,562,40.5,952.549,28074,22853,15680,10934,5221,10312,724,643,1471,1027,1614,1834,1092,1168,346,393,45979,64671,24983,27099,43976,29479,29.727604564174648
Panola,455.0,28,0.06153846153846154,23440,2013,17184,4023,29,21,0,0,170,23440,11498,11942,1430,1282,1903,1628,1412,2675,2890,2688,1596,1710,2393,1361,472,39.3,811.355,23205,19160,13936,8458,4045,8827,732,452,1045,894,1042,1858,1071,1050,352,331,51569,67548,26403,30198,51276,30203,28.88994336634395
Parker,2299.0,45,0.019573727707699,129802,15562,108865,1762,523,644,61,147,2238,129802,64448,65354,7993,9003,9467,8811,7444,14842,16093,18625,9861,8124,12182,5508,1849,39.7,903.482,128417,110622,90697,34717,17795,44255,1976,1051,2584,3378,5532,7717,5585,8725,3764,3943,74625,97384,34705,37951,62700,39530,143.66860656880826
Parmer,547.0,18,0.03290676416819013,9852,6201,3401,107,29,25,0,0,89,9852,5059,4793,760,758,900,737,649,1320,1130,1201,524,597,730,412,134,33.9,880.82,9772,7773,5620,3015,1999,3318,169,122,308,449,419,783,373,502,132,61,54184,67600,23686,30163,38567,28653,11.18503212915238
Pecos,423.0,6,0.014184397163120567,15797,10837,4040,567,164,74,17,17,81,15797,9010,6787,1102,1289,902,918,1006,2485,2267,2056,1031,743,1100,636,262,35.9,4763.835,13694,10913,8454,3966,2781,4557,348,235,319,601,718,740,746,639,118,93,52282,66605,20688,31217,41998,29243,3.3160258489221395
Polk,912.0,32,0.03508771929824561,47837,7193,33877,4850,693,313,62,31,818,47837,25878,21959,2588,2638,2878,2707,2692,5478,5747,6363,3823,4015,5968,2196,744,43.6,1057.045,44229,36096,23622,17889,8133,17803,1422,1193,2036,2218,2556,3304,1808,1875,691,700,46182,63446,24686,27868,45098,31397,45.255405399013284
Potter,7342.0,85,0.011577226913647508,120899,45905,53755,11591,392,6494,96,88,2578,120899,62295,58604,9808,10053,8534,7885,8309,18388,15720,14471,7563,5757,8259,4214,1938,33.8,908.39,114083,89365,61482,37609,24718,43944,3639,2891,5784,5955,6441,8617,4180,3986,1087,1364,43157,60730,22267,27606,39537,30930,133.0915135569524
Presidio,124.0,7,0.056451612903225805,7123,5956,987,0,0,180,0,0,0,7123,3497,3626,506,533,575,650,257,545,891,846,346,378,864,617,115,41.8,3855.252,7123,4988,2491,2903,2135,2627,389,364,408,390,390,269,87,330,0,0,27061,39099,16066,20353,32396,39318,1.847609442910606
Rains,85.0,5,0.058823529411764705,11473,1019,9814,322,69,8,0,0,241,11473,5868,5605,566,652,697,578,507,1126,1243,1429,1088,766,1764,917,140,48.3,229.453,11410,9116,6240,4688,2294,4331,342,138,533,500,660,686,795,343,181,153,49872,65103,26165,33163,46382,40277,50.00152536685073
Randall,4532.0,50,0.011032656663724626,132475,27678,96014,3726,410,2162,64,72,2349,132475,65083,67392,8654,9438,8475,9750,9207,19349,16814,15641,8242,7991,11020,5821,2073,35.6,911.926,131586,117531,100621,33372,14055,49187,1954,1325,3516,4822,6151,9488,7413,8695,3345,2478,67397,86352,33814,36230,54305,40771,145.26946265376796
Reagan,90.0,6,0.06666666666666667,3752,2652,1064,27,0,0,0,0,9,3752,1951,1801,264,397,314,272,222,559,552,375,240,207,169,99,82,31.4,1175.3139999999999,3716,2800,2408,634,916,1147,72,21,98,88,126,215,179,281,33,34,70478,75412,25397,40210,55625,36204,3.1923383878691136
Real,122.0,8,0.06557377049180328,3389,672,2709,5,0,2,0,0,1,3389,1426,1963,228,193,121,217,190,252,260,234,301,276,529,476,112,55.0,699.159,3295,2386,1610,1560,909,1227,169,83,216,147,216,174,108,64,33,17,34813,48791,21109,20392,27143,27813,4.847252198713027
Red River,190.0,17,0.08947368421052632,12275,902,8982,2080,28,6,0,0,277,12275,5986,6289,518,547,911,818,677,1173,1424,1473,1032,799,1667,917,319,45.6,1043.876,12077,10323,7083,5109,1754,5048,522,424,660,725,692,944,525,444,65,47,37955,50123,21666,26969,40186,29032,11.759059505151953
Reeves,249.0,6,0.024096385542168676,15125,11352,3117,312,0,228,13,38,65,15125,8689,6436,958,866,1005,1086,1137,2271,2455,1939,866,718,993,566,265,35.6,2635.3540000000007,12925,10281,7621,3585,2644,3713,368,166,329,343,450,773,615,436,146,87,58384,67979,20876,29278,49160,35789,5.739266906836803
Refugio,305.0,16,0.05245901639344262,7236,3631,3028,400,5,14,0,0,158,7236,3586,3650,470,438,501,569,358,753,751,889,524,433,874,463,213,41.9,770.4839999999997,7070,5948,4239,2855,1122,2577,189,245,254,299,337,596,250,291,72,44,48112,59434,23810,26053,41603,33363,9.391499369227656
Roberts,14.0,0,0.0,885,123,726,0,0,8,0,0,28,885,401,484,32,50,109,99,28,83,89,95,55,45,99,83,18,38.0,924.058,885,812,691,278,73,311,9,3,26,25,38,60,40,54,44,12,73854,88939,31632,31406,73750,31250,0.9577320904099094
Robertson,402.0,4,0.009950248756218905,16890,3481,9728,3276,35,49,22,11,288,16890,8296,8594,979,1165,1236,1032,1077,1752,1856,2299,1117,1177,1911,864,425,40.9,855.1080000000003,16698,14199,10378,5937,2499,6358,487,357,647,694,865,1164,872,935,163,174,54201,67074,25465,27321,50608,28707,19.751890989208373
Rockwall,1838.0,32,0.017410228509249184,93642,16206,67046,5670,224,2300,0,57,2139,93642,46167,47475,5826,6996,8035,7237,4966,10679,14190,13418,6475,4729,6828,3092,1171,37.6,127.11,92892,82446,73615,17178,10446,31649,759,691,1404,1716,3062,4701,4266,7317,3824,3909,94767,114436,39295,48192,70422,50851,736.7004956337031
Runnels,287.0,9,0.0313588850174216,10310,3495,6368,317,16,25,0,6,83,10310,5233,5077,573,631,786,672,680,1047,1159,1234,661,740,1132,700,295,40.8,1051.07,10093,8515,6330,3766,1578,3749,303,173,550,523,636,602,320,422,143,77,41732,58250,23042,30129,40562,30662,9.809051728238844
Rusk,990.0,21,0.021212121212121213,53595,8855,34324,9131,78,301,22,31,853,53595,28379,25216,3167,3705,3292,3594,3263,7115,6993,6959,3744,3153,4874,2787,949,38.5,924.0369999999999,48744,39359,28715,16142,9385,17960,1194,916,1973,1807,2749,3298,2270,2262,869,622,52329,68838,24842,28644,52884,34028,58.00092420541601
Sabine,89.0,9,0.10112359550561797,10458,455,8966,650,1,0,20,53,313,10458,5072,5386,450,556,559,569,330,978,862,1189,1051,752,1827,975,360,52.7,491.70300000000003,10370,8855,5914,5390,1515,4099,421,284,811,652,416,627,366,271,140,111,33257,54131,23450,21209,54908,28319,21.268936736200512
San Augustine,214.0,15,0.07009345794392523,8327,583,5741,1760,111,0,0,0,132,8327,4085,4242,394,364,585,602,258,815,714,1154,714,593,1230,677,227,49.4,530.6569999999998,8094,6848,4467,3804,1246,3356,500,190,589,377,446,523,372,218,89,52,35509,55145,23261,27917,44167,35992,15.69186875891584
San Jacinto,236.0,11,0.046610169491525424,27819,3563,20779,2846,134,0,13,0,484,27819,13718,14101,1542,1535,2038,1527,1398,2830,3153,3433,2133,2116,3873,1835,406,44.7,569.243,27678,22254,13432,12743,5424,9487,539,632,1316,1315,1421,1758,1074,937,301,194,44658,59016,21808,26261,42038,31342,48.870166168051256
San Patricio,1549.0,80,0.051646223369916075,67046,38483,26032,1003,101,671,30,7,719,67046,33721,33325,4947,4887,5259,4824,4393,8923,8328,8078,4417,3367,5759,2935,929,35.3,693.436,66274,54752,39263,21923,11522,23121,1699,1068,2395,2145,3055,4469,2928,3112,1483,767,55229,71588,25281,31318,50594,31847,96.68664447764463
San Saba,112.0,1,0.008928571428571428,5962,1790,3846,134,0,3,0,0,189,5962,3073,2889,315,239,455,273,441,760,769,594,376,398,746,475,121,40.7,1135.313,5290,4286,3109,2203,1004,2104,152,151,307,237,301,425,211,164,121,35,44698,63072,24307,25782,41027,29239,5.251415248482137
Schleicher,55.0,2,0.03636363636363636,3061,1603,1444,13,0,0,0,0,1,3061,1542,1519,187,252,273,174,174,471,290,344,187,224,281,147,57,35.0,1310.642,3061,2414,2066,689,647,1105,115,40,97,142,132,229,162,123,53,12,55677,61014,25128,30734,53676,25379,2.335496649733489
Scurry,995.0,12,0.012060301507537688,17239,6917,9158,837,13,49,0,35,230,17239,9425,7814,1181,1033,1439,1285,1063,2295,2398,1941,1091,921,1370,863,359,36.1,905.445,15723,13314,10268,4647,2409,5884,185,433,551,786,701,1072,809,903,310,134,55889,69935,24508,35319,54349,32472,19.0392569399577
Shackelford,35.0,0,0.0,3311,385,2830,6,10,7,0,0,73,3311,1770,1541,207,248,167,336,108,380,297,453,354,152,330,211,68,43.0,914.2860000000001,3285,2862,2238,1135,423,1234,119,71,156,133,210,210,147,108,52,28,45187,59257,23855,22409,39286,31364,3.6214051183109017
Shelby,542.0,30,0.055350553505535055,25478,4605,15729,4576,39,415,0,35,79,25478,12572,12906,1781,1962,1917,1893,1605,2874,2922,3023,1669,1541,2393,1466,432,37.2,795.5889999999997,25304,19118,12621,9356,6186,9292,1056,577,1305,1133,1455,1791,628,957,147,243,40764,54312,20969,27438,40960,31363,32.024072731020674
Sherman,72.0,1,0.013888888888888888,3058,1302,1721,9,6,0,0,0,20,3058,1574,1484,190,176,208,224,168,347,443,493,158,216,231,170,34,40.4,923.0360000000001,3026,2430,2006,738,596,1055,42,43,102,130,144,218,146,148,46,36,56576,71238,26335,30670,44653,32679,3.3129802087892566
Smith,4269.0,127,0.02974935582103537,225015,43377,134889,38735,725,3865,299,315,2810,225015,108730,116285,15496,15209,15695,15854,16210,30117,26582,26915,13952,13314,20158,11658,3855,36.6,921.4730000000001,222704,184420,139290,73592,38284,77195,5369,3712,8292,7560,11243,14111,9405,10296,3522,3685,53511,73922,27141,30147,46121,35502,244.19055143232632
Somervell,156.0,5,0.03205128205128205,8743,1648,6911,54,27,35,60,6,2,8743,4192,4551,504,380,771,415,701,1020,956,1163,624,634,950,403,222,40.9,186.46400000000003,8557,7098,5411,2679,1459,3239,169,201,473,224,492,491,384,509,188,108,53162,68502,26523,30574,63241,30517,46.8884074137635
Starr,3492.0,182,0.05211912943871707,63894,63299,465,21,7,69,0,12,21,63894,31073,32821,6460,5426,5856,5551,5256,8313,7619,6989,2756,2535,4001,2305,827,28.7,1223.1789999999999,63359,42224,16790,27426,21135,16238,2338,1760,3113,2013,2219,2067,1079,959,447,243,29294,47374,14122,17915,31870,26634,52.236017786440094
Stephens,154.0,4,0.025974025974025976,9372,2199,6709,222,66,38,0,26,112,9372,4808,4564,479,700,552,730,489,1354,963,1049,603,660,975,498,320,38.6,896.721,8895,7038,4691,3359,1857,3268,295,258,282,400,669,509,297,331,107,120,45336,62311,24405,28803,49848,32279,10.451411308534091
Sterling,12.0,0,0.0,1141,516,606,3,0,0,0,0,16,1141,622,519,69,109,63,94,24,106,109,205,157,46,100,41,18,44.9,923.449,1103,880,672,316,223,462,8,15,30,49,97,144,32,59,20,8,59286,66108,28997,41786,67711,33462,1.2355852894962256
Stonewall,18.0,1,0.05555555555555555,1385,256,1075,48,0,0,0,0,6,1385,730,655,63,73,137,108,15,106,79,179,131,121,223,119,31,52.0,916.313,1331,1134,826,558,197,582,36,50,89,63,61,79,84,47,50,23,48000,66282,28746,26401,64213,29432,1.5114922521016292
Sutton,97.0,3,0.030927835051546393,3865,2385,1470,3,0,0,0,0,7,3865,2116,1749,253,299,255,167,232,575,486,373,334,238,405,141,107,38.4,1453.935,3844,3169,2580,1026,675,1484,109,28,147,130,244,286,156,252,113,19,60543,71175,29360,33276,54185,33618,2.658303156606038
Swisher,137.0,3,0.021897810218978103,7484,3254,3514,393,50,17,8,15,233,7484,4036,3448,477,508,542,530,368,1198,911,777,416,417,719,407,214,35.7,890.16,6830,5540,3522,2847,1290,2514,295,112,401,353,400,406,270,180,47,50,38418,53684,19258,29923,41679,31250,8.407477307450346
Tarrant,54727.0,801,0.014636285562884864,2019977,576242,958302,319829,5797,106427,3474,3976,45930,2019977,988765,1031212,144494,151834,154147,143146,135990,300991,277505,269412,121880,103987,132708,60433,23450,34.3,863.6460000000003,2004359,1677121,1306518,521057,327238,698995,34453,25193,54383,63335,86518,131906,93354,110961,47914,50978,64874,89207,32092,35417,51827,42119,2338.8946397019145
Taylor,1785.0,63,0.03529411764705882,136348,32869,87125,10287,722,2909,75,289,2072,136348,66718,69630,10062,9235,9205,10384,14403,19990,14949,14123,7568,7274,10310,6185,2660,32.3,915.5360000000001,130933,113303,87374,41115,17630,49482,3105,2676,5010,5820,7781,9267,5453,6593,1934,1843,50818,69401,26469,26918,41458,31559,148.92696737211864
Terrell,4.0,0,0.0,862,548,265,23,2,0,0,0,24,862,429,433,8,57,32,16,32,73,128,118,48,77,151,79,43,51.9,2358.0170000000007,862,729,579,357,133,396,83,2,79,34,69,29,39,53,5,3,33750,48627,23852,35329,73304,30262,0.3655614018049912
Terry,487.0,7,0.014373716632443531,12615,6859,5071,584,28,0,0,0,73,12615,6515,6100,1008,1006,928,913,731,1824,1406,1500,724,654,1063,642,216,34.7,888.8389999999997,11528,8940,5643,4396,2588,4041,287,149,510,521,713,703,480,388,206,84,44975,62229,20127,25380,42368,31171,14.192671563691516
Throckmorton,17.0,2,0.11764705882352941,1567,235,1292,16,0,0,0,0,24,1567,694,873,84,49,82,128,98,175,117,213,101,130,207,142,41,46.6,912.552,1556,1285,942,586,271,703,90,52,73,75,76,139,54,109,21,14,44196,62624,28895,30755,53000,29808,1.717162419237479
Titus,1562.0,35,0.02240717029449424,32730,14015,14871,2953,84,333,0,40,434,32730,16046,16684,2534,2832,2593,2528,2359,4047,3877,3994,1750,1738,2598,1382,498,33.8,406.05699999999996,32479,26555,18506,11305,5924,10694,514,704,1600,1154,1724,2163,1138,1142,300,255,46698,59775,20633,26798,38409,29067,80.6044471588964
Tom Green,2526.0,77,0.030482977038796516,117466,46319,63195,4702,248,1349,50,114,1489,117466,58343,59123,8045,7575,8016,8791,9913,18429,12895,12734,7307,6300,9808,5225,2428,33.9,1522.001,112652,95645,75721,34164,17007,43131,2546,1861,4934,5212,6510,7870,5313,5195,1869,1821,51675,72478,28444,29332,42988,31676,77.17866151204895
Travis,31159.0,439,0.014089027247344267,1203166,407676,590373,94922,1963,78250,368,2122,27492,1203166,607356,595810,78751,75966,73312,72912,82452,241541,190102,152905,67198,57677,70442,27992,11916,33.9,991.8489999999999,1195755,1033927,869388,254152,161828,458484,25185,13833,30702,35855,52824,80575,56305,76961,35361,50883,71767,103148,41049,39153,54718,47395,1213.0535998927255
Trinity,205.0,7,0.03414634146341464,14569,1420,11451,1318,48,147,0,0,185,14569,7011,7558,672,953,858,818,588,1344,1426,1816,934,1282,2172,1347,359,48.7,693.797,14434,11503,6851,6900,2931,5918,467,441,916,818,941,1123,489,426,261,36,40407,51359,22265,27352,45856,31094,20.99893772962408
Tyler,259.0,4,0.015444015444015444,21496,1621,17043,2411,12,60,0,9,340,21496,11738,9758,1069,1131,1143,1408,1624,2681,2330,2446,1581,1473,2636,1468,506,42.7,924.39,18777,15959,10689,8536,2818,7020,510,553,889,853,975,1267,880,806,204,83,43936,57233,20439,31179,52351,32454,23.254254156795287
Upshur,467.0,12,0.02569593147751606,40769,3423,32817,3368,294,239,0,199,429,40769,20224,20545,2548,2901,2728,2726,2278,4367,4722,5383,3256,2762,4092,2359,647,40.9,582.98,40221,33423,24738,13276,6798,14036,943,773,1437,1477,2309,2505,1891,1826,415,460,50906,66328,24458,29996,46059,30788,69.93207314144567
Upton,27.0,3,0.1111111111111111,3634,1837,1525,237,5,25,0,5,0,3634,1843,1791,341,239,317,264,162,418,456,447,248,196,307,179,60,37.2,1241.323,3577,3115,2467,933,462,1305,124,47,149,140,160,248,144,171,65,57,52257,66849,26183,33393,51375,33611,2.9275216845253005
Uvalde,824.0,36,0.043689320388349516,27009,19247,7223,86,107,271,0,5,70,27009,13083,13926,2006,2037,2012,2176,1954,3511,3090,2859,1267,1562,2560,1630,345,33.9,1551.921,26582,20914,13464,10120,5668,8683,621,852,1268,1033,1349,1452,1004,741,242,121,41752,53379,19092,22076,37407,25009,17.403592064286777
Val Verde,2431.0,124,0.051007815713698064,49027,40086,7612,611,64,285,31,0,338,49027,24925,24102,4192,3547,4027,3771,4126,7022,5701,5386,1863,2498,3825,2019,1050,31.7,3144.75,46335,37714,25159,16463,8621,15429,1640,843,1583,1968,2256,2531,1684,2136,397,391,45521,62212,20881,25695,42405,29106,15.590110501629699
Van Zandt,662.0,26,0.03927492447129909,54368,5741,45714,1423,298,268,39,0,885,54368,26619,27749,3030,3341,3852,3741,2836,5606,6153,7182,3684,4005,6347,3620,971,42.9,842.566,53721,44481,31896,20363,9240,19615,1113,990,2441,2043,2798,3966,2371,2470,778,645,51935,69340,26151,30777,45337,35293,64.52669583154317
Victoria,4224.0,97,0.022964015151515152,91970,42733,41428,5205,155,1001,0,165,1283,91970,44999,46971,6568,6371,6729,6326,6150,12754,10914,10734,5638,5615,8163,3963,2045,35.7,882.1060000000001,90951,76546,57304,28877,14405,32544,2136,1419,3373,3186,4571,5468,4116,5058,1720,1497,55631,76886,28576,30793,51404,32818,104.26184608199013
Walker,3854.0,62,0.01608718214841723,71539,12787,40510,16393,256,911,10,16,656,71539,41642,29897,3120,3108,2959,5491,10647,10015,9805,9702,4367,3608,5197,2269,1251,35.4,784.222,56813,49198,42049,14108,7615,21636,3264,1356,2303,2237,3259,3233,2562,2257,763,402,41855,56197,17789,26533,40050,36918,91.22289351739686
Waller,951.0,17,0.017875920084121977,49987,14903,21571,12222,31,428,24,48,760,49987,24869,25118,3371,3804,3205,5399,6604,5834,5034,5509,2916,2554,3697,1531,529,29.0,513.337,49757,39814,30369,13242,9943,14807,802,647,1616,1514,2026,2438,1767,2287,818,892,57654,78075,24495,27024,44726,32173,97.37657718029287
Ward,157.0,1,0.006369426751592357,11586,6131,4724,533,55,67,0,0,76,11586,5864,5722,848,908,902,822,872,1618,1410,1315,650,645,894,523,179,33.2,835.6030000000003,11477,9448,7216,3169,2029,3956,314,207,378,268,407,715,722,563,199,183,64630,75278,26570,39173,60592,36077,13.865436098242824
